CSI_DATA: 6,3,2,2,1,1,1,0,-19,-24,226.236,235.271,19.85,414.760,131.505,20.505,"[-15,-5,-16,-5,-15,-3,-17,-4,-15,-4,-15,-4,-15,-4,-14,-4,-15,-3,-14,-3,-15,-3,-15,-2,-15,-2,-14,-2,-14,-2,-15,-1,-14,-1,-13,-1,-14,0,-14,0,-14,0,-14,1,-13,0,-14,2,-15,2,-14,3,0,0,-14,3,-15,3,-16,4,-15,4,-16,4,-16,4,-16,4,-16,4,-16,5,-16,5,-17,5,-17,4,-17,4,-18,4,-17,5,-18,5,-19,4,-19,4,-19,3,-19,3,-19,2,-19,1,-20,1,-20,1,-19,-1,-19,-1,0,0,-12,4,-11,5,-11,6,-12,5,-11,5,-11,6,-11,6,-10,5,-11,6,-10,6,-11,7,-10,8,-10,7,-9,7,-9,7,-9,8,-8,8,-8,8,-8,8,-9,9,-8,8,-8,9,-8,9,-7,10,-8,10,-7,10,0,0,-7,10,-7,11,-7,11,-6,12,-7,12,-7,12,-7,12,-7,12,-7,12,-7,12,-7,13,-7,12,-7,12,-8,13,-8,13,-8,13,-8,14,-9,13,-9,12,-10,11,-11,11,-10,11,-11,11,-11,11,-12,10,-12,8,0,0]"
CSI_DATA: 1242,6,265,265,278,264,313,0,-32,-20,121916.174,121923.203,167.478,122269.622,362.799,195.369,"[0,19,1,20,2,19,0,22,0,20,0,21,-1,20,-1,20,-1,20,-1,19,-1,21,-1,20,-1,20,-1,19,-3,19,-1,19,-1,18,-1,18,0,19,-1,18,-2,18,-1,18,-2,17,0,18,-1,19,-1,18,0,0,-1,17,-1,17,-1,17,-1,16,-2,16,-3,16,-3,15,-3,14,-3,13,-2,12,-2,12,-3,11,-2,10,-1,9,0,8,0,8,1,7,2,7,2,6,3,6,3,6,4,7,5,7,6,7,6,8,6,8,0,0,-12,-11,-12,-11,-12,-10,-13,-11,-12,-11,-12,-10,-12,-9,-12,-9,-12,-9,-12,-8,-13,-9,-14,-8,-13,-8,-13,-8,-13,-9,-14,-7,-14,-6,-13,-6,-14,-6,-14,-7,-14,-7,-14,-6,-13,-6,-14,-4,-15,-6,-16,-4,0,0,-15,-4,-16,-4,-16,-4,-16,-3,-16,-4,-17,-4,-17,-4,-16,-4,-17,-4,-17,-3,-18,-3,-18,-4,-18,-4,-19,-4,-18,-4,-19,-4,-19,-4,-20,-5,-19,-6,-19,-6,-19,-7,-18,-8,-18,-9,-19,-8,-18,-10,-17,-10,0,0]"
CSI_DATA: 7,5,2,2,1,1,1,0,-33,-32,228.168,237.202,117.455,514.495,231.240,120.240,"[-4,16,-4,16,-2,16,-4,18,-3,17,-4,17,-4,17,-4,16,-4,17,-4,16,-4,18,-4,17,-4,17,-4,16,-6,16,-4,16,-4,15,-4,15,-4,15,-5,15,-5,15,-4,15,-5,14,-3,14,-4,15,-4,14,0,0,-4,14,-4,14,-4,14,-4,13,-4,13,-5,13,-5,12,-4,11,-5,11,-4,10,-4,10,-4,9,-4,8,-4,8,-4,7,-3,6,-3,6,-2,5,-2,4,-1,4,0,3,1,3,2,3,3,3,4,3,5,3,0,0,-1,13,0,12,1,12,0,12,1,11,0,11,0,10,0,10,1,10,1,9,1,9,2,8,3,8,3,7,2,7,4,7,4,7,4,6,5,6,5,6,5,7,6,6,6,6,7,5,8,6,8,6,0,0,8,6,9,6,9,7,9,6,10,7,9,8,9,8,9,8,10,8,9,8,10,9,9,9,9,9,9,9,8,9,8,9,8,9,7,10,7,10,6,9,5,10,5,9,4,9,5,9,3,9,3,9,0,0]"
CSI_DATA: 8,6,2,2,1,1,1,0,-28,-19,234.334,243.368,166.592,565.891,282.636,171.636,"[-3,-19,-3,-19,-5,-19,-4,-22,-4,-20,-4,-21,-4,-21,-4,-20,-4,-21,-4,-20,-4,-22,-4,-21,-4,-21,-4,-20,-4,-20,-5,-19,-5,-17,-6,-17,-7,-18,-6,-18,-6,-18,-7,-17,-7,-16,-9,-16,-9,-17,-10,-16,0,0,-10,-16,-11,-17,-12,-17,-11,-16,-11,-17,-12,-18,-11,-18,-11,-17,-11,-17,-10,-17,-11,-18,-9,-18,-9,-17,-9,-18,-8,-17,-7,-17,-7,-18,-6,-16,-5,-16,-4,-15,-3,-15,-3,-15,-2,-14,-2,-13,-1,-12,-1,-11,0,0,1,-15,1,-14,0,-15,1,-16,1,-15,1,-14,1,-14,1,-14,1,-14,0,-14,0,-15,-1,-14,-1,-14,-1,-14,-1,-14,-2,-14,-2,-13,-2,-14,-2,-13,-2,-14,-2,-14,-2,-14,-2,-14,-4,-13,-3,-14,-3,-14,0,0,-4,-14,-4,-14,-4,-15,-4,-14,-4,-14,-4,-15,-4,-15,-4,-15,-4,-15,-4,-15,-5,-16,-4,-15,-4,-15,-4,-15,-4,-16,-4,-16,-4,-17,-3,-16,-3,-17,-2,-16,-1,-17,-1,-17,-1,-17,-1,-17,1,-17,1,-16,0,0]"
CSI_DATA: 9,7,2,2,1,1,1,0,-36,-25,225.128,234.163,209.428,629.437,346.182,235.182,"[5,6,5,6,6,5,7,6,7,6,6,6,6,5,6,5,6,5,6,4,6,3,6,2,7,1,8,0,8,0,9,-1,9,-2,9,-2,11,-2,11,-2,12,-2,12,-2,12,-1,13,-3,14,-2,14,-3,0,0,14,-2,14,-2,15,-2,13,-2,14,-1,15,-1,14,0,13,0,13,0,12,0,12,0,12,1,11,1,10,1,9,1,8,1,9,2,7,2,6,2,5,2,4,2,3,2,2,1,1,1,-1,1,-2,0,0,0,6,13,6,13,8,12,7,14,7,13,6,13,6,13,6,13,5,13,6,12,6,13,6,12,6,12,6,11,6,11,7,11,7,10,7,10,8,9,8,10,8,10,8,10,7,10,9,9,9,10,10,10,0,0,10,9,10,9,11,10,10,9,10,10,11,10,10,10,10,10,10,10,10,10,11,10,10,10,10,10,10,10,10,10,11,11,11,11,10,11,10,11,9,11,9,12,9,12,8,12,9,12,7,13,7,13,0,0]"
CSI_DATA: 10,3,3,3,2,2,2,0,-19,-24,616.219,629.569,23.264,809.191,179.754,24.910,"[14,6,14,5,14,4,15,5,14,5,14,5,14,5,13,5,13,4,13,4,14,4,14,4,14,4,13,3,13,4,14,2,13,1,13,2,13,1,13,1,13,2,13,1,13,1,14,0,14,0,15,-1,0,0,14,-1,15,-2,15,-2,15,-2,15,-2,16,-2,16,-2,16,-2,16,-2,16,-2,17,-3,17,-2,17,-2,18,-2,17,-2,18,-2,19,-1,19,-1,18,0,18,0,18,1,18,2,19,3,19,3,18,4,17,5,0,0,-12,-2,-12,-1,-11,0,-12,-1,-12,-1,-12,0,-12,0,-11,0,-11,0,-11,0,-12,1,-11,1,-12,1,-11,1,-11,1,-12,2,-11,2,-11,2,-11,3,-11,3,-11,2,-11,3,-10,2,-10,4,-11,4,-11,5,0,0,-11,5,-11,5,-11,6,-11,6,-11,6,-11,6,-12,6,-11,6,-12,6,-11,6,-12,7,-12,6,-12,6,-13,6,-13,6,-13,6,-13,6,-13,5,-14,5,-14,4,-14,3,-14,3,-14,2,-14,3,-14,1,-14,0,0,0]"
CSI_DATA: 1242,6,265,265,278,264,313,0,-32,-20,121916.174,121923.203,167.478,122269.622,362.799,195.369,"[0,19,1,20,2,19,0,22,0,20,0,21,-1,20,-1,20,-1,20,-1,19,-1,21,-1,20,-1,20,-1,19,-3,19,-1,19,-1,18,-1,18,0,19,-1,18,-2,18,-1,18,-2,17,0,18,-1,19,-1,18,0,0,-1,17,-1,17,-1,17,-1,16,-2,16,-3,16,-3,15,-3,14,-3,13,-2,12,-2,12,-3,11,-2,10,-1,9,0,8,0,8,1,7,2,7,2,6,3,6,3,6,4,7,5,7,6,7,6,8,6,8,0,0,-12,-11,-12,-11,-12,-10,-13,-11,-12,-11,-12,-10,-12,-9,-12,-9,-12,-9,-12,-8,-13,-9,-14,-8,-13,-8,-13,-8,-13,-9,-14,-7,-14,-6,-13,-6,-14,-6,-14,-7,-14,-7,-14,-6,-13,-6,-14,-4,-15,-6,-16,-4,0,0,-15,-4,-16,-4,-16,-4,-16,-3,-16,-4,-17,-4,-17,-4,-16,-4,-17,-4,-17,-3,-18,-3,-18,-4,-18,-4,-19,-4,-18,-4,-19,-4,-19,-4,-20,-5,-19,-6,-19,-6,-19,-7,-18,-8,-18,-9,-19,-8,-18,-10,-17,-10,0,0]"
CSI_DATA: 7,5,2,2,1,1,1,0,-33,-32,228.168,237.202,117.455,514.495,231.240,120.240,"[-4,16,-4,16,-2,16,-4,18,-3,17,-4,17,-4,17,-4,16,-4,17,-4,16,-4,18,-4,17,-4,17,-4,16,-6,16,-4,16,-4,15,-4,15,-4,15,-5,15,-5,15,-4,15,-5,14,-3,14,-4,15,-4,14,0,0,-4,14,-4,14,-4,14,-4,13,-4,13,-5,13,-5,12,-4,11,-5,11,-4,10,-4,10,-4,9,-4,8,-4,8,-4,7,-3,6,-3,6,-2,5,-2,4,-1,4,0,3,1,3,2,3,3,3,4,3,5,3,0,0,-1,13,0,12,1,12,0,12,1,11,0,11,0,10,0,10,1,10,1,9,1,9,2,8,3,8,3,7,2,7,4,7,4,7,4,6,5,6,5,6,5,7,6,6,6,6,7,5,8,6,8,6,0,0,8,6,9,6,9,7,9,6,10,7,9,8,9,8,9,8,10,8,9,8,10,9,9,9,9,9,9,9,8,9,8,9,8,9,7,10,7,10,6,9,5,10,5,9,4,9,5,9,3,9,3,9,0,0]"
CSI_DATA: 11,6,3,3,2,2,2,0,-28,-19,624.317,637.667,166.429,952.346,322.909,168.65,"[-3,18,-2,18,-1,19,-2,20,-2,20,-1,20,-2,20,-2,19,-2,20,-1,20,-2,21,-2,20,-2,20,-2,19,-2,19,0,19,0,17,0,17,2,17,1,18,1,18,3,17,2,17,4,17,4,18,5,17,0,0,5,17,6,18,6,18,6,18,6,18,7,19,6,19,6,19,6,19,5,18,5,19,4,18,4,18,3,18,2,18,2,17,2,18,1,16,0,15,-1,14,-2,14,-1,13,-2,13,-2,12,-3,10,-3,10,0,0,-4,15,-3,15,-2,15,-3,16,-3,15,-3,15,-3,15,-3,15,-3,14,-2,14,-2,15,-1,15,-1,14,0,14,-1,14,0,15,1,14,1,14,1,14,0,15,0,15,1,15,0,14,3,14,2,15,2,15,0,0,2,15,2,15,3,16,3,15,3,15,3,16,2,16,3,15,3,15,3,15,4,16,3,16,3,16,3,16,3,16,3,17,3,17,2,17,2,17,1,17,0,18,0,17,0,18,0,18,-2,18,-2,17,0,0]"
CSI_DATA: 9,7,2,2,1,1,1,0,-36,-25,225.128,234.163,209.428,629.437,346.182,235.182,"[5,6,5,6,6,5,7,6,7,6,6,6,6,5,6,5,6,5,6,4,6,3,6,2,7,1,8,0,8,0,9,-1,9,-2,9,-2,11,-2,11,-2,12,-2,12,-2,12,-1,13,-3,14,-2,14,-3,0,0,14,-2,14,-2,15,-2,13,-2,14,-1,15,-1,14,0,13,0,13,0,12,0,12,0,12,1,11,1,10,1,9,1,8,1,9,2,7,2,6,2,5,2,4,2,3,2,2,1,1,1,-1,1,-2,0,0,0,6,13,6,13,8,12,7,14,7,13,6,13,6,13,6,13,5,13,6,12,6,13,6,12,6,12,6,11,6,11,7,11,7,10,7,10,8,9,8,10,8,10,8,10,7,10,9,9,9,10,10,10,0,0,10,9,10,9,11,10,10,9,10,10,11,10,10,10,10,10,10,10,10,10,11,10,10,10,10,10,10,10,10,10,11,11,11,11,10,11,10,11,9,11,9,12,9,12,8,12,9,12,7,13,7,13,0,0]"
