CSI_DATA: 6,3,2,2,1,1,1,0,-22,-18,230.473,235.389,14.949,411.146,124.490,16.380,"[13,8,13,8,13,6,13,8,12,7,13,7,12,7,12,7,11,7,12,6,12,6,12,5,12,5,12,5,12,6,13,4,12,3,11,3,12,3,12,3,12,3,12,2,12,3,12,1,13,1,13,0,0,0,13,0,14,0,14,-1,14,-1,15,-1,15,-1,15,-1,15,-1,15,-1,15,-1,17,-2,16,-1,17,-1,18,-1,17,-1,18,-1,18,-1,19,0,18,1,18,2,19,3,19,3,18,4,19,4,18,5,18,6,0,0,-13,4,-14,5,-12,6,-14,6,-13,6,-13,6,-13,6,-12,6,-13,6,-12,6,-13,7,-12,7,-12,8,-12,8,-12,7,-12,8,-11,8,-11,8,-11,9,-11,9,-11,9,-10,10,-11,9,-9,10,-11,11,-10,11,0,0,-10,11,-10,12,-10,12,-9,12,-10,12,-10,13,-10,13,-10,12,-11,13,-10,13,-11,14,-11,13,-11,13,-12,14,-12,13,-12,14,-12,14,-13,13,-13,13,-14,12,-15,12,-15,11,-15,11,-15,11,-16,9,-16,8,0,0]"
CSI_DATA: 7,7,2,2,1,1,1,0,-25,-21,229.391,234.307,205.205,603.298,316.642,208.532,"[15,-8,16,-8,15,-9,17,-8,15,-7,16,-7,15,-7,15,-6,15,-6,13,-6,15,-7,14,-8,14,-8,13,-8,14,-7,14,-9,13,-9,14,-8,14,-9,15,-8,15,-7,15,-8,15,-7,14,-9,16,-8,16,-9,0,0,15,-8,15,-8,15,-8,14,-8,15,-7,15,-7,15,-7,14,-6,14,-7,13,-6,14,-7,13,-6,13,-7,13,-7,12,-7,13,-7,12,-7,13,-7,13,-7,12,-7,12,-7,12,-7,12,-7,13,-8,13,-7,14,-7,0,0,-7,-16,-7,-16,-8,-15,-8,-17,-7,-16,-7,-16,-7,-16,-6,-15,-6,-15,-7,-14,-7,-16,-7,-15,-7,-15,-7,-14,-6,-14,-7,-14,-7,-13,-7,-13,-8,-13,-7,-13,-7,-14,-8,-13,-7,-13,-9,-12,-8,-13,-8,-13,0,0,-8,-12,-9,-13,-9,-13,-9,-12,-9,-13,-9,-13,-9,-13,-9,-12,-9,-13,-8,-12,-9,-13,-9,-13,-9,-13,-9,-13,-9,-13,-9,-13,-9,-13,-8,-13,-8,-14,-7,-14,-7,-14,-7,-14,-7,-14,-7,-14,-6,-15,-6,-15,0,0]"
CSI_DATA: 8,3,3,3,2,2,2,0,-21,-17,620.495,625.655,15.72,801.629,198.331,16.832,"[11,6,12,6,12,5,12,6,11,6,11,6,11,5,11,5,11,5,11,4,12,5,11,4,11,4,11,3,11,4,11,3,11,2,10,2,11,2,11,2,11,2,11,1,10,1,11,0,12,0,12,-1,0,0,12,-1,12,-1,13,-2,12,-2,13,-2,13,-2,14,-2,13,-2,14,-3,13,-3,15,-3,14,-3,15,-3,16,-3,15,-2,16,-2,16,-2,17,-2,17,-2,16,0,17,0,17,1,17,1,17,1,16,3,16,3,0,0,-6,-13,-7,-13,-8,-12,-8,-13,-8,-12,-8,-12,-8,-12,-8,-11,-8,-12,-8,-11,-10,-12,-10,-11,-10,-11,-10,-11,-10,-11,-11,-10,-11,-10,-10,-9,-11,-9,-11,-9,-11,-10,-11,-9,-11,-9,-12,-8,-13,-9,-14,-9,0,0,-14,-8,-14,-8,-15,-7,-14,-7,-15,-8,-15,-8,-15,-8,-15,-8,-16,-8,-15,-8,-17,-8,-16,-8,-16,-8,-17,-8,-17,-9,-18,-9,-17,-9,-17,-10,-17,-10,-16,-11,-16,-11,-15,-11,-15,-12,-15,-12,-14,-14,-13,-14,0,0]"
CSI_DATA: 9,4,3,3,2,2,2,0,-18,-31,625.143,630.303,57.646,856.801,253.503,72.04,"[-12,-12,-12,-12,-13,-11,-13,-12,-13,-11,-12,-11,-12,-11,-12,-11,-12,-11,-12,-10,-13,-11,-13,-10,-13,-10,-13,-9,-13,-10,-14,-9,-13,-8,-13,-8,-13,-7,-13,-8,-13,-8,-14,-7,-13,-8,-14,-6,-15,-7,-15,-6,0,0,-15,-6,-16,-6,-17,-5,-16,-5,-16,-5,-17,-5,-17,-5,-16,-5,-17,-5,-16,-5,-18,-5,-17,-5,-17,-6,-18,-6,-17,-6,-18,-6,-19,-6,-18,-6,-18,-7,-17,-8,-17,-8,-17,-9,-17,-9,-18,-9,-16,-11,-16,-11,0,0,-9,-2,-9,-2,-8,-1,-9,-1,-9,0,-10,0,-9,0,-9,0,-10,0,-9,1,-11,1,-10,2,-10,2,-10,3,-11,2,-11,3,-11,3,-11,3,-11,4,-11,3,-12,3,-11,4,-11,3,-11,5,-12,4,-13,5,0,0,-13,4,-12,4,-13,4,-12,4,-13,4,-13,4,-13,3,-12,3,-13,2,-12,2,-13,3,-12,2,-12,2,-11,2,-11,1,-12,1,-11,2,-11,0,-10,0,-9,0,-10,-1,-9,0,-8,0,-8,0,-8,-1,-7,-1,0,0]"
CSI_DATA: 10,5,3,3,2,2,2,0,-27,-25,622.427,627.587,113.537,925.141,321.843,140.344,"[1,15,1,16,2,15,2,17,1,15,1,15,1,15,1,14,1,15,2,14,2,16,2,15,2,15,2,14,2,15,3,14,3,13,2,13,3,14,3,13,3,14,4,13,3,13,6,13,6,14,6,14,0,0,6,14,6,14,8,15,7,14,7,15,7,15,7,16,7,15,7,16,7,14,9,15,7,16,8,16,8,17,7,16,8,17,9,17,8,18,7,18,7,18,7,19,7,19,7,19,8,20,6,21,6,22,0,0,11,3,12,2,11,1,13,2,12,2,12,2,11,1,11,1,11,1,11,0,12,0,12,0,12,-1,12,-1,12,0,13,-2,12,-2,12,-1,13,-2,13,-2,13,-2,13,-2,12,-1,13,-3,14,-3,15,-3,0,0,14,-3,14,-3,15,-3,14,-3,15,-3,16,-3,15,-2,15,-2,15,-2,14,-2,16,-3,15,-1,15,-2,16,-2,14,-1,16,-1,15,-1,15,-1,14,0,14,0,14,1,14,1,14,1,14,1,13,2,13,2,0,0]"
CSI_DATA: 11,6,2,2,2,1,2,0,-28,-18,628.594,633.754,162.352,982.203,378.905,197.406,"[-10,-1,-10,-1,-11,-1,-12,-1,-12,-1,-13,-2,-14,-2,-14,-2,-15,-3,-15,-2,-17,-3,-17,-4,-18,-4,-17,-4,-17,-5,-18,-4,-17,-4,-17,-4,-18,-3,-18,-3,-19,-3,-19,-2,-18,-3,-20,1,-21,-1,-22,2,0,0,-22,2,-23,2,-24,3,-24,4,-25,5,-26,5,-27,5,-27,6,-28,6,-28,8,-30,8,-31,7,-31,7,-32,7,-31,7,-32,7,-33,7,-33,8,-33,7,-33,7,-34,6,-33,5,-34,5,-34,6,-34,3,-34,4,0,0,-1,-15,-2,-15,-3,-15,-2,-17,-2,-15,-2,-15,-2,-15,-2,-15,-2,-15,-3,-14,-3,-16,-4,-15,-4,-15,-4,-14,-4,-15,-5,-15,-5,-14,-5,-14,-6,-14,-5,-14,-5,-15,-6,-14,-5,-14,-7,-14,-6,-15,-7,-15,0,0,-7,-14,-7,-15,-8,-15,-7,-14,-7,-15,-8,-15,-7,-15,-7,-15,-7,-15,-7,-15,-8,-16,-8,-15,-7,-15,-8,-16,-7,-16,-8,-17,-8,-17,-7,-17,-6,-17,-6,-17,-5,-18,-5,-17,-4,-18,-5,-18,-3,-18,-2,-18,0,0]"
CSI_DATA: 12,7,3,3,2,2,2,0,-25,-21,619.413,624.573,205.52,1052.410,449.112,267.613,"[-1,17,0,17,0,17,-1,19,-1,17,-2,17,-2,16,-2,16,-2,16,-1,15,-1,16,-1,16,-1,16,0,16,-1,16,1,16,1,15,0,15,1,17,0,17,-1,17,0,17,-1,16,0,17,-1,18,0,17,0,0,-1,17,-1,17,-1,18,-1,16,-2,17,-2,17,-2,16,-2,15,-2,15,-2,14,-2,15,-2,14,-2,14,-2,15,-1,13,-1,14,-1,14,-1,14,0,14,0,13,-1,14,-1,14,-1,14,-1,15,-1,15,-1,15,0,0,0,-17,0,-17,-2,-17,-1,-18,-1,-17,0,-17,0,-17,0,-16,0,-16,-1,-15,0,-17,-1,-16,-1,-16,-2,-15,-1,-15,-2,-16,-2,-15,-2,-14,-3,-14,-2,-14,-2,-15,-3,-14,-2,-14,-4,-14,-3,-15,-4,-15,0,0,-4,-14,-4,-14,-5,-15,-5,-14,-5,-15,-5,-15,-4,-15,-4,-14,-5,-15,-4,-15,-5,-16,-5,-15,-5,-15,-5,-15,-4,-15,-5,-16,-5,-15,-4,-16,-4,-16,-3,-15,-3,-16,-3,-15,-3,-16,-3,-16,-1,-16,-1,-16,0,0]"
CSI_DATA: 13,3,4,4,3,3,3,0,-22,-17,1014.133,1015.298,14.984,1192.85,139.675,17.320,"[-6,-13,-6,-13,-7,-12,-6,-14,-6,-12,-6,-12,-6,-12,-6,-12,-6,-12,-7,-11,-7,-11,-7,-11,-8,-11,-8,-10,-7,-11,-8,-10,-8,-9,-8,-9,-9,-9,-9,-9,-8,-9,-9,-8,-8,-8,-10,-7,-10,-8,-11,-8,0,0,-11,-7,-11,-7,-12,-7,-12,-7,-12,-7,-13,-7,-13,-7,-13,-7,-13,-7,-13,-7,-14,-7,-14,-7,-14,-8,-15,-8,-14,-8,-15,-8,-15,-9,-15,-9,-15,-9,-14,-10,-14,-11,-14,-11,-14,-12,-14,-12,-13,-13,-12,-13,0,0,6,-13,5,-13,4,-14,5,-14,5,-14,5,-14,4,-13,4,-13,4,-13,3,-13,4,-15,3,-15,2,-14,2,-14,3,-14,2,-15,1,-14,1,-14,1,-14,1,-14,2,-14,1,-14,1,-14,-1,-14,0,-15,-1,-16,0,0,-1,-15,-2,-16,-2,-17,-2,-16,-2,-16,-2,-17,-2,-17,-1,-16,-2,-17,-2,-17,-3,-18,-2,-18,-2,-18,-1,-18,-1,-18,-1,-19,-1,-19,0,-19,1,-19,1,-18,2,-19,3,-18,3,-18,3,-19,5,-18,5,-18,0,0]"
CSI_DATA: 14,4,4,4,3,3,3,0,-18,-31,1018.782,1019.947,57.916,1250.698,198.288,75.933,"[-12,11,-12,11,-10,12,-12,12,-11,11,-11,11,-11,11,-11,11,-11,11,-10,11,-11,12,-10,12,-10,12,-10,12,-10,12,-9,13,-8,12,-9,12,-8,12,-9,12,-9,12,-8,13,-8,12,-7,13,-8,13,-7,14,0,0,-7,14,-7,14,-7,15,-6,14,-7,14,-7,15,-7,15,-7,15,-7,16,-6,15,-6,16,-7,15,-7,16,-7,16,-8,16,-8,17,-8,17,-8,16,-9,16,-9,15,-10,15,-11,15,-11,15,-11,15,-13,14,-13,14,0,0,7,-3,7,-4,7,-5,8,-5,7,-5,7,-5,7,-6,6,-6,6,-6,7,-7,7,-7,7,-7,7,-8,7,-8,7,-7,7,-9,6,-8,6,-9,6,-9,7,-9,7,-9,7,-10,8,-9,7,-10,9,-10,8,-10,0,0,7,-10,8,-11,8,-10,8,-10,9,-10,9,-10,9,-10,9,-9,8,-9,9,-8,9,-8,9,-8,9,-8,9,-7,9,-7,8,-6,9,-7,8,-6,8,-5,7,-5,7,-4,7,-5,7,-4,7,-4,6,-3,6,-3,0,0]"
CSI_DATA: 15,5,4,4,3,3,3,0,-27,-25,1016.66,1017.231,113.820,1312.275,259.865,137.510,"[13,7,13,7,13,7,14,8,13,7,13,7,13,7,13,6,13,7,13,6,14,6,14,6,13,6,13,6,13,7,13,5,13,4,12,5,13,4,13,5,13,5,13,4,12,4,14,2,15,3,15,2,0,0,15,2,16,2,16,2,15,1,16,3,17,2,17,2,17,3,18,3,17,2,19,2,18,2,18,2,19,3,18,3,19,2,19,3,19,3,19,4,19,4,19,5,20,5,20,5,21,5,21,6,21,7,0,0,5,-12,5,-12,4,-12,5,-13,5,-12,4,-12,4,-12,4,-12,4,-12,3,-12,3,-13,2,-13,2,-13,2,-13,3,-13,2,-14,1,-13,2,-13,1,-13,2,-14,2,-14,2,-14,2,-14,0,-14,1,-15,1,-16,0,0,1,-16,1,-15,1,-16,1,-15,2,-16,2,-16,2,-16,2,-15,2,-16,2,-15,2,-17,2,-15,2,-15,3,-15,3,-15,3,-16,3,-15,4,-15,4,-15,4,-14,5,-14,5,-13,5,-13,4,-14,6,-13,5,-13,0,0]"
