CSI_DATA: gC, idS, sC, sC_M, bc1, bc2, bcM1, retry, RSSI1, RSSI2, tCSI1_S, tCSI2_S, tdma_S, t_M(ms), dt_rxM, tin_cycle, [data]
CSI_DATA: 1,3,1,1,0,0,0,0,-22,-22,4294811.367,4294811.712,0.117,19.993,19.993,19.993,"[-2,-12,-3,-12,-4,-12,-4,-14,-4,-13,-4,-13,-4,-13,-4,-13,-5,-13,-5,-13,-6,-15,-6,-14,-6,-15,-7,-15,-6,-15,-8,-15,-8,-14,-7,-14,-8,-15,-8,-15,-8,-16,-9,-15,-7,-15,-10,-15,-10,-17,-10,-16,0,0,-11,-16,-11,-16,-12,-16,-12,-15,-11,-16,-12,-17,-12,-17,-12,-17,-12,-17,-12,-16,-13,-17,-12,-17,-13,-17,-13,-18,-12,-17,-13,-18,-14,-18,-13,-18,-13,-18,-12,-19,-12,-19,-12,-19,-12,-20,-13,-19,-11,-21,-11,-21,0,0,14,4,15,4,14,3,16,4,15,4,15,4,14,4,14,4,15,4,14,3,16,3,15,3,16,3,15,3,15,4,16,2,15,2,14,3,15,2,15,4,15,4,15,3,14,3,15,1,16,3,16,2,0,0,15,2,15,2,16,2,15,2,15,3,15,3,15,3,15,3,15,3,14,2,15,2,14,2,14,2,15,3,14,3,15,3,14,2,14,3,13,3,13,4,13,4,13,4,12,3,13,3,12,4,12,4,0,0]"
CSI_DATA: 2,4,1,1,0,0,0,0,-23,-29,4294815.93,4294815.432,47.544,86.146,86.146,86.146,"[-3,12,-2,12,-1,12,-2,13,-1,12,-1,12,-1,12,0,12,0,12,0,11,1,13,2,13,1,13,2,13,2,13,3,13,3,12,4,12,4,13,4,13,4,13,5,13,5,13,6,12,6,14,7,14,0,0,8,13,8,14,9,14,9,13,9,14,9,15,9,15,10,15,11,15,11,14,12,15,11,15,11,16,12,17,12,16,13,17,13,18,13,19,13,19,12,19,11,20,11,21,10,22,11,22,9,23,8,23,0,0,-6,-14,-7,-15,-7,-13,-8,-16,-7,-15,-8,-16,-8,-15,-8,-15,-8,-15,-9,-15,-10,-16,-10,-16,-10,-16,-10,-16,-9,-17,-11,-17,-11,-16,-10,-16,-11,-17,-10,-18,-9,-18,-10,-17,-9,-17,-12,-16,-11,-18,-12,-18,0,0,-11,-17,-11,-17,-12,-18,-11,-16,-11,-17,-11,-17,-11,-17,-11,-16,-12,-16,-12,-15,-14,-15,-13,-15,-14,-15,-14,-16,-14,-16,-16,-17,-15,-16,-16,-17,-15,-18,-14,-19,-14,-20,-13,-20,-14,-20,-15,-21,-13,-22,-12,-23,0,0]"
CSI_DATA: 3,5,1,1,0,0,0,0,-34,-28,4294810.987,4294811.317,95.266,155.132,155.132,155.132,"[9,-6,9,-7,8,-8,9,-8,8,-8,8,-9,8,-9,7,-9,7,-10,6,-10,7,-12,6,-11,6,-12,5,-12,6,-12,4,-13,4,-13,4,-13,3,-13,4,-13,4,-13,3,-14,3,-13,2,-14,3,-15,2,-15,0,0,2,-16,2,-16,2,-17,1,-16,2,-17,3,-18,2,-18,3,-18,2,-18,2,-18,2,-19,3,-19,3,-19,4,-20,4,-19,4,-20,4,-20,5,-20,5,-19,6,-19,7,-19,7,-19,8,-18,7,-19,8,-17,9,-17,0,0,-14,-4,-14,-4,-14,-3,-14,-4,-14,-4,-13,-4,-13,-4,-12,-4,-12,-4,-12,-3,-13,-3,-12,-2,-12,-2,-12,-2,-11,-3,-12,-2,-11,-2,-11,-1,-11,-1,-12,-1,-11,-1,-11,0,-11,0,-11,2,-12,1,-12,2,0,0,-12,2,-12,2,-13,2,-12,2,-13,2,-13,2,-13,1,-13,1,-13,2,-13,2,-14,2,-13,1,-14,1,-13,1,-13,1,-14,1,-14,1,-13,0,-13,0,-13,-1,-13,-2,-13,-2,-13,-2,-13,-2,-12,-3,-11,-3,0,0]"
CSI_DATA: 4,6,1,1,0,0,0,0,-29,-23,4294822.119,4294822.541,147.262,220.814,220.814,220.814,"[-13,19,-13,19,-12,19,-14,20,-14,19,-14,18,-14,18,-13,17,-13,17,-12,17,-13,18,-12,18,-12,18,-12,18,-12,18,-11,19,-10,18,-10,18,-10,19,-11,19,-12,19,-11,19,-12,18,-10,19,-12,20,-11,19,0,0,-11,19,-12,18,-12,19,-11,17,-12,16,-12,17,-12,15,-11,15,-11,14,-11,13,-11,13,-10,12,-10,11,-10,11,-9,10,-9,10,-8,9,-8,8,-7,7,-7,7,-6,6,-5,6,-5,6,-4,6,-4,5,-3,5,0,0,11,6,11,5,11,4,12,6,11,5,11,5,11,5,10,5,10,5,10,4,12,4,11,4,11,4,11,4,11,5,12,4,11,3,10,4,11,4,10,4,10,5,10,4,10,4,11,3,11,4,11,3,0,0,11,3,11,3,11,3,11,2,11,3,11,4,11,4,11,4,11,3,11,3,11,2,10,4,10,4,10,3,11,3,11,3,11,4,11,4,11,4,10,4,11,5,10,5,10,5,10,4,11,5,11,6,0,0]"
CSI_DATA: 5,7,1,1,0,0,0,0,-22,-23,4294806.473,4294806.900,191.238,282.750,282.750,282.750,"[3,6,3,6,3,6,3,6,3,6,3,6,3,5,3,5,3,5,3,5,3,5,3,5,4,5,4,5,3,5,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,5,3,5,3,5,3,0,0,6,2,6,2,7,2,6,2,6,2,7,2,7,2,7,2,7,2,7,2,8,2,8,2,8,2,9,2,8,2,9,2,9,2,10,2,10,3,9,3,10,4,10,4,10,4,10,5,10,5,10,6,0,0,15,-4,16,-4,15,-4,17,-4,15,-4,16,-3,15,-3,15,-3,15,-2,14,-4,16,-4,15,-5,15,-4,15,-4,16,-2,16,-4,15,-4,14,-3,15,-3,15,-2,15,-1,15,-2,14,-2,14,-4,15,-3,15,-3,0,0,14,-3,14,-2,14,-3,13,-3,13,-2,13,-2,13,-2,13,-2,12,-3,12,-3,13,-4,12,-3,12,-4,12,-4,12,-4,13,-4,12,-4,13,-4,13,-4,13,-3,13,-4,13,-3,13,-3,14,-4,14,-3,14,-3,0,0]"
CSI_DATA: 6,3,2,2,1,1,1,0,-23,-23,235.268,242.550,17.310,413.589,130.839,18.798,"[-13,-1,-13,0,-13,1,-14,1,-14,0,-14,0,-14,0,-14,1,-15,1,-14,1,-16,2,-15,2,-16,3,-16,3,-16,2,-17,4,-15,4,-16,3,-16,4,-17,3,-17,3,-17,4,-17,4,-17,6,-19,5,-18,6,0,0,-18,6,-19,6,-19,7,-18,7,-19,7,-20,7,-20,7,-20,7,-20,8,-20,7,-20,9,-20,7,-20,7,-21,7,-20,8,-21,8,-22,8,-22,8,-22,7,-22,6,-23,6,-23,6,-23,5,-24,6,-24,4,-24,4,0,0,16,2,16,2,16,1,17,2,16,2,16,2,16,2,15,2,15,2,15,1,17,1,16,1,16,1,16,1,16,2,17,1,16,0,15,1,16,0,16,1,16,2,16,1,15,2,16,0,17,1,17,0,0,0,16,0,16,1,16,0,15,0,16,1,16,1,16,1,15,1,15,1,15,0,16,0,15,1,15,1,15,1,14,1,15,1,15,1,14,1,14,2,13,2,13,2,13,2,13,2,13,1,13,2,13,3,0,0]"
CSI_DATA: 7,4,2,2,1,1,1,0,-22,-29,238.984,246.266,62.127,461.178,178.428,66.387,"[11,2,11,1,12,0,12,1,12,1,11,0,11,0,11,0,11,0,11,-1,12,-2,11,-2,12,-3,11,-3,11,-2,12,-4,11,-4,11,-4,11,-5,12,-4,12,-5,12,-5,12,-5,11,-7,13,-7,12,-7,0,0,12,-7,13,-9,13,-9,12,-9,13,-9,13,-9,14,-10,13,-9,13,-10,13,-11,14,-12,14,-11,14,-12,15,-12,15,-12,15,-12,17,-13,16,-12,17,-12,18,-11,19,-11,20,-10,21,-10,21,-11,21,-9,21,-8,0,0,-9,11,-9,12,-8,12,-10,14,-9,13,-9,14,-9,14,-9,14,-9,14,-8,14,-9,16,-8,16,-8,16,-8,16,-10,16,-9,17,-9,17,-9,16,-8,18,-9,17,-9,17,-9,18,-9,16,-7,18,-9,19,-8,19,0,0,-8,18,-8,18,-8,19,-7,18,-7,19,-7,19,-7,19,-6,19,-6,19,-5,19,-5,21,-5,20,-5,20,-4,22,-5,21,-5,23,-4,23,-5,24,-6,24,-6,24,-8,25,-8,24,-8,25,-9,26,-12,25,-13,25,0,0]"
CSI_DATA: 8,5,2,2,1,1,1,0,-34,-29,234.878,242.160,109.845,525.327,242.577,130.536,"[9,2,9,1,9,0,10,1,10,0,9,0,9,-1,9,-1,9,-1,9,-2,10,-2,10,-3,10,-3,9,-3,10,-3,10,-5,9,-4,9,-4,9,-5,9,-4,10,-4,9,-5,9,-4,9,-6,10,-6,10,-6,0,0,10,-6,11,-7,11,-7,11,-7,11,-7,12,-7,12,-7,13,-7,13,-8,13,-8,14,-9,14,-8,14,-8,15,-8,15,-8,15,-9,16,-9,16,-8,17,-8,16,-7,17,-7,17,-7,17,-6,17,-7,17,-5,17,-5,0,0,-11,9,-11,10,-10,9,-11,10,-10,8,-10,9,-10,8,-9,8,-9,8,-8,8,-9,8,-9,9,-8,8,-8,8,-8,7,-7,8,-7,8,-7,8,-6,8,-6,8,-7,8,-6,8,-6,8,-5,9,-5,9,-5,10,0,0,-5,10,-5,10,-5,10,-5,10,-5,10,-5,11,-5,10,-6,10,-5,11,-5,10,-5,11,-6,10,-6,9,-6,10,-6,10,-6,10,-6,10,-7,10,-7,10,-7,9,-7,9,-7,8,-7,8,-8,8,-8,7,-8,7,0,0]"
CSI_DATA: 9,6,2,2,1,1,1,0,-30,-23,246.98,253.380,161.821,584.614,301.864,189.823,"[-21,-4,-21,-4,-21,-3,-22,-4,-21,-4,-21,-5,-20,-5,-19,-4,-19,-5,-19,-3,-20,-4,-20,-4,-20,-3,-19,-3,-19,-4,-20,-2,-19,-2,-19,-2,-20,-1,-20,-2,-20,-3,-20,-2,-19,-3,-20,-1,-21,-3,-20,-2,0,0,-19,-3,-19,-3,-20,-3,-18,-3,-18,-4,-18,-4,-17,-4,-16,-4,-16,-4,-15,-4,-15,-4,-14,-5,-13,-4,-12,-4,-12,-4,-11,-4,-10,-4,-10,-4,-9,-3,-7,-3,-7,-3,-6,-2,-5,-2,-5,-1,-4,-1,-4,0,0,0,13,0,13,0,12,-1,14,0,12,0,13,0,12,-1,12,-1,12,0,11,-1,13,-1,12,-1,12,-1,12,-1,12,0,12,-1,12,-1,12,-1,12,-1,11,-1,11,0,11,-1,11,-1,12,-2,12,-1,12,-2,0,0,12,-2,11,-1,12,-1,11,-1,12,-1,11,-1,11,-1,11,-1,12,-1,11,-2,12,-1,11,-1,11,-1,11,0,11,-1,12,-1,11,-1,11,-1,11,0,11,0,11,0,11,1,11,1,11,0,12,1,12,1,0,0]"
CSI_DATA: 10,7,2,2,1,1,1,0,-23,-23,230.453,237.735,215.693,650.65,367.315,255.274,"[13,-1,13,-2,13,-3,14,-2,13,-2,12,-2,12,-2,12,-2,12,-2,12,-3,12,-3,12,-4,12,-4,11,-4,11,-4,11,-5,10,-5,10,-5,10,-6,10,-6,10,-6,10,-6,10,-6,9,-8,10,-8,10,-9,0,0,9,-9,10,-10,9,-10,9,-11,10,-11,10,-11,10,-11,10,-12,10,-13,10,-13,10,-14,11,-13,11,-14,11,-14,12,-14,12,-15,13,-16,13,-15,14,-15,15,-15,15,-15,16,-14,17,-14,17,-15,19,-13,19,-13,0,0,-14,8,-14,9,-13,9,-15,9,-14,8,-14,9,-14,8,-13,8,-14,8,-12,8,-14,9,-13,10,-13,9,-13,9,-14,8,-14,9,-13,9,-13,8,-13,9,-14,8,-14,7,-13,8,-13,7,-12,8,-13,8,-13,8,0,0,-12,8,-12,7,-12,8,-11,7,-12,7,-12,7,-11,7,-11,7,-11,8,-10,8,-10,9,-10,8,-10,8,-10,9,-10,8,-10,9,-10,9,-10,9,-10,9,-11,9,-11,9,-11,9,-11,9,-11,10,-12,9,-13,8,0,0]"
