CSI_DATA: gC, idS, sC, sC_M, bc1, bc2, bcM1, retry, RSSI1, RSSI2, tCSI1_S, tCSI2_S, tdma_S, t_M(ms), dt_rxM, tin_cycle, [data]
CSI_DATA: 1,3,1,1,0,0,0,0,-22,-19,4294812.452,4294815.515,0.117,22.112,22.112,22.112,"[-6,-12,-6,-12,-7,-12,-7,-13,-7,-13,-7,-12,-7,-13,-7,-12,-7,-13,-8,-12,-8,-13,-9,-12,-9,-12,-9,-12,-8,-13,-10,-12,-10,-11,-10,-11,-11,-11,-10,-12,-11,-12,-11,-11,-11,-11,-12,-10,-13,-12,-14,-11,0,0,-14,-11,-15,-11,-16,-12,-15,-11,-15,-12,-16,-12,-15,-13,-15,-13,-16,-13,-16,-13,-17,-13,-15,-14,-16,-14,-16,-14,-15,-14,-16,-14,-16,-14,-15,-14,-15,-14,-14,-14,-14,-15,-14,-15,-14,-16,-15,-15,-13,-16,-13,-16,0,0,-17,-5,-17,-5,-16,-4,-18,-5,-17,-4,-17,-4,-17,-4,-16,-4,-16,-4,-16,-4,-17,-4,-17,-3,-17,-3,-17,-3,-16,-4,-17,-2,-16,-1,-16,-2,-16,-1,-16,-2,-16,-2,-16,-1,-15,-2,-16,0,-17,-1,-17,0,0,0,-17,0,-17,0,-18,1,-17,1,-17,0,-18,0,-18,0,-17,0,-18,0,-17,0,-18,0,-17,-1,-17,-1,-17,0,-17,-1,-18,0,-17,0,-17,-1,-17,-1,-16,-2,-16,-2,-16,-2,-16,-2,-16,-1,-16,-3,-16,-3,0,0]"
CSI_DATA: 2,4,1,1,0,0,0,0,-21,-30,4294813.528,4294816.607,41.786,96.629,96.629,96.629,"[5,-9,4,-9,3,-10,4,-11,3,-11,3,-11,3,-11,3,-11,3,-12,2,-12,2,-13,1,-13,2,-13,1,-13,2,-13,0,-14,0,-14,0,-14,0,-14,0,-14,0,-15,-1,-15,0,-15,-2,-15,-2,-17,-2,-17,0,0,-3,-17,-3,-17,-3,-18,-4,-17,-3,-18,-3,-18,-3,-19,-3,-18,-4,-19,-4,-19,-5,-20,-3,-20,-4,-20,-4,-21,-4,-20,-4,-21,-4,-22,-4,-22,-3,-22,-2,-22,-1,-23,-1,-22,0,-23,-1,-23,1,-23,2,-23,0,0,6,-8,6,-8,5,-9,5,-9,4,-9,4,-10,4,-10,3,-10,3,-10,2,-11,2,-12,1,-12,1,-12,0,-13,1,-13,-1,-14,-1,-13,-1,-14,-2,-14,-2,-15,-2,-15,-2,-15,-2,-16,-4,-15,-4,-17,-4,-17,0,0,-5,-18,-6,-18,-6,-18,-6,-18,-6,-18,-6,-19,-6,-19,-6,-19,-7,-20,-7,-20,-8,-21,-8,-20,-8,-20,-8,-21,-8,-22,-9,-22,-9,-23,-8,-23,-7,-24,-6,-24,-6,-25,-6,-25,-5,-26,-6,-26,-3,-26,-2,-26,0,0]"
CSI_DATA: 3,5,1,1,0,0,0,0,-34,-25,121135.148,4294821.169,90.333,165.211,165.211,165.211,"[-12,-3,-13,-3,-12,-1,-14,-2,-13,-1,-13,-2,-13,-2,-12,-1,-13,-1,-12,-1,-13,-1,-12,0,-12,-1,-12,-1,-13,-2,-12,-1,-11,-1,-11,-2,-11,-2,-11,-2,-11,-3,-11,-3,-10,-3,-10,-2,-11,-3,-11,-3,0,0,-10,-3,-10,-4,-11,-4,-10,-3,-11,-4,-11,-4,-11,-5,-11,-4,-11,-5,-11,-4,-11,-4,-11,-5,-12,-5,-12,-5,-12,-5,-13,-5,-13,-5,-13,-5,-13,-5,-13,-5,-13,-6,-13,-6,-14,-5,-15,-5,-14,-6,-15,-6,0,0,3,-13,2,-13,1,-13,2,-14,2,-12,2,-12,1,-12,1,-12,1,-12,0,-11,1,-12,0,-12,0,-12,0,-11,0,-12,-1,-12,-2,-11,-1,-11,-2,-11,-2,-11,-1,-11,-2,-11,-2,-11,-3,-11,-3,-12,-3,-12,0,0,-4,-12,-3,-12,-4,-12,-4,-12,-4,-12,-4,-12,-4,-13,-4,-12,-4,-13,-4,-12,-4,-13,-3,-13,-4,-13,-4,-14,-3,-13,-4,-14,-4,-13,-3,-14,-2,-14,-2,-14,-1,-14,-1,-13,-1,-13,-1,-13,1,-14,1,-13,0,0]"
CSI_DATA: 4,6,1,1,0,0,0,0,-30,-23,4294811.236,4294814.321,141.420,236.345,236.345,236.345,"[17,-2,17,-3,18,-4,19,-3,17,-3,17,-3,17,-3,16,-3,15,-3,16,-3,17,-4,16,-3,16,-3,15,-3,15,-3,15,-5,13,-5,13,-4,13,-4,13,-3,13,-3,12,-4,12,-3,12,-4,12,-4,11,-4,0,0,10,-4,10,-4,10,-4,9,-4,9,-3,9,-3,9,-3,9,-2,8,-2,8,-2,8,-1,7,-1,6,-1,6,0,5,0,5,1,5,1,4,1,4,2,3,2,2,2,2,2,1,3,0,3,-1,3,-2,4,0,0,3,-16,3,-16,2,-16,4,-17,3,-16,4,-16,3,-15,3,-15,3,-15,3,-14,3,-15,3,-14,3,-15,3,-14,3,-14,2,-15,1,-13,2,-13,1,-13,2,-13,2,-13,1,-13,2,-12,1,-13,1,-13,1,-13,0,0,0,-13,0,-13,-1,-13,0,-12,0,-13,0,-13,0,-13,0,-12,0,-12,0,-12,-1,-13,0,-13,0,-13,-1,-13,-1,-13,-1,-13,-1,-13,0,-13,0,-13,0,-13,1,-13,1,-13,1,-13,1,-13,2,-13,2,-13,0,0]"
CSI_DATA: 5,3,2,2,1,1,1,0,-22,-19,232.327,240.205,16.289,414.906,178.561,19.426,"[-13,-4,-13,-3,-13,-3,-14,-4,-14,-3,-14,-3,-14,-3,-14,-3,-14,-3,-14,-3,-15,-2,-15,-2,-15,-2,-15,-2,-15,-2,-16,-1,-14,0,-15,0,-15,0,-16,0,-15,0,-16,1,-15,0,-16,2,-17,1,-17,2,0,0,-17,3,-18,3,-19,3,-18,4,-19,3,-19,3,-20,3,-19,3,-20,3,-20,3,-21,3,-20,2,-20,2,-21,2,-21,2,-21,2,-22,2,-21,2,-21,1,-20,1,-21,0,-20,-1,-21,-1,-21,0,-21,-2,-20,-2,0,0,2,16,2,16,3,15,3,17,2,16,2,16,2,16,2,15,2,16,3,15,3,16,3,16,3,16,3,15,2,15,4,16,4,15,3,14,4,14,3,15,3,15,4,15,3,14,5,14,4,15,5,16,0,0,5,15,5,15,6,16,6,15,5,15,5,16,4,16,5,16,5,16,5,15,6,16,4,15,4,16,4,16,4,16,4,16,4,16,4,16,3,16,2,15,2,16,2,15,2,14,2,15,1,15,1,15,0,0]"
CSI_DATA: 6,4,2,2,1,1,1,0,-21,-30,233.407,241.286,58.82,464.144,227.799,68.664,"[-1,-11,-1,-11,-2,-10,-2,-12,-3,-11,-3,-11,-4,-11,-4,-11,-4,-11,-4,-11,-5,-13,-5,-12,-6,-12,-6,-12,-6,-12,-7,-13,-7,-12,-7,-12,-8,-12,-8,-12,-8,-13,-9,-12,-8,-13,-10,-12,-10,-13,-11,-13,0,0,-11,-13,-12,-13,-13,-13,-12,-13,-12,-13,-13,-14,-13,-14,-13,-13,-13,-14,-13,-14,-15,-15,-13,-15,-14,-15,-15,-15,-15,-15,-16,-16,-16,-16,-15,-16,-15,-17,-14,-17,-14,-18,-14,-18,-13,-19,-14,-19,-12,-21,-12,-21,0,0,-7,6,-6,6,-5,7,-6,7,-5,7,-5,7,-5,8,-4,8,-4,9,-3,8,-3,10,-2,10,-2,10,-2,10,-2,11,-1,11,0,11,-1,11,0,12,0,12,0,13,1,13,0,13,2,13,2,14,2,15,0,0,2,15,3,15,3,16,3,15,3,16,3,16,3,16,3,16,4,17,4,16,5,17,4,17,4,18,4,18,5,18,5,19,5,20,5,20,3,20,3,20,2,22,2,21,1,22,2,22,0,23,-1,23,0,0]"
CSI_DATA: 7,5,2,2,1,1,1,0,-35,-25,233.75,240.953,106.656,530.376,294.31,134.896,"[-12,0,-12,0,-11,1,-12,0,-12,0,-11,0,-11,0,-10,1,-10,0,-10,0,-11,0,-10,0,-10,0,-9,0,-9,0,-10,0,-9,0,-9,0,-9,0,-9,-1,-9,-1,-9,-1,-9,-2,-9,-1,-9,-1,-9,-1,0,0,-9,-1,-9,-1,-10,-1,-10,-1,-10,-2,-11,-1,-11,-1,-11,-1,-11,-1,-11,-1,-12,-1,-11,-2,-11,-2,-12,-2,-12,-2,-12,-1,-12,-1,-13,-1,-12,-1,-12,-1,-13,-2,-12,-1,-12,-2,-13,-1,-13,-2,-13,-1,0,0,-15,0,-15,0,-14,0,-15,0,-14,0,-14,0,-13,0,-13,0,-13,1,-13,1,-14,1,-13,2,-13,2,-13,2,-13,2,-12,3,-12,3,-12,3,-12,3,-12,3,-13,3,-12,4,-12,3,-12,4,-13,4,-13,5,0,0,-12,5,-13,5,-13,5,-12,6,-13,5,-13,5,-13,5,-13,5,-14,5,-13,6,-14,6,-13,5,-14,5,-14,5,-14,5,-15,5,-15,4,-15,4,-15,3,-15,3,-15,2,-15,1,-15,1,-15,1,-15,0,-15,0,0,0]"
CSI_DATA: 8,6,2,2,1,1,1,0,-30,-23,231.118,238.997,157.709,595.132,358.787,199.652,"[-18,-11,-18,-11,-18,-9,-19,-11,-18,-10,-18,-10,-17,-10,-17,-10,-17,-10,-16,-8,-18,-9,-17,-9,-17,-8,-17,-8,-16,-8,-17,-8,-16,-7,-15,-7,-15,-6,-15,-7,-15,-7,-15,-6,-13,-7,-14,-5,-14,-6,-14,-5,0,0,-13,-5,-13,-5,-13,-4,-12,-4,-11,-5,-11,-5,-10,-5,-10,-5,-10,-5,-9,-5,-9,-5,-7,-5,-7,-5,-6,-5,-6,-5,-5,-5,-5,-5,-4,-5,-3,-5,-2,-5,-1,-5,0,-5,1,-5,1,-4,2,-4,3,-4,0,0,11,12,11,11,11,10,11,12,10,11,10,11,10,11,9,11,9,11,9,10,10,10,10,10,9,10,9,10,9,10,10,9,9,8,9,8,9,8,9,9,8,9,9,8,8,8,9,7,10,8,10,7,0,0,9,7,10,7,10,6,10,6,10,7,10,7,10,7,9,7,10,6,10,6,11,6,10,6,10,6,10,6,10,5,11,6,10,6,10,6,10,6,10,7,10,8,9,8,9,8,9,8,10,9,9,9,0,0]"
CSI_DATA: 9,3,3,3,2,2,2,0,-22,-19,622.308,630.204,17.789,804.849,209.717,19.344,"[-9,-10,-9,-10,-10,-9,-11,-11,-10,-10,-10,-10,-10,-10,-10,-10,-11,-10,-10,-9,-12,-10,-12,-9,-12,-9,-12,-9,-12,-10,-13,-9,-13,-8,-12,-8,-13,-7,-14,-8,-13,-9,-14,-7,-13,-8,-15,-6,-16,-8,-16,-7,0,0,-16,-7,-17,-7,-18,-6,-18,-6,-18,-7,-18,-7,-18,-7,-18,-7,-19,-8,-19,-7,-20,-7,-19,-8,-19,-9,-20,-8,-19,-8,-20,-9,-20,-9,-19,-9,-18,-9,-18,-9,-18,-11,-18,-10,-18,-11,-18,-10,-17,-12,-17,-12,0,0,2,16,2,16,4,15,3,17,2,16,2,16,2,16,2,15,2,16,3,14,3,16,4,16,4,15,4,15,3,15,4,15,4,15,3,14,4,15,3,15,3,15,4,15,3,14,5,14,5,15,5,15,0,0,6,15,5,15,6,16,6,15,5,15,5,16,5,16,5,15,5,16,5,15,6,16,5,15,4,15,4,16,4,15,4,16,4,15,4,16,3,15,2,15,2,16,2,15,2,14,2,15,1,15,1,15,0,0]"
CSI_DATA: 10,4,3,3,2,2,2,0,-21,-30,623.389,631.285,59.576,858.86,262.954,72.581,"[2,9,2,9,3,8,3,10,3,10,4,10,4,10,4,10,4,10,5,9,6,10,7,10,7,10,7,10,6,11,8,10,8,9,7,9,9,10,8,10,9,11,9,10,9,10,11,9,11,10,12,10,0,0,12,10,12,10,14,10,13,9,13,10,14,11,14,11,14,11,15,11,14,11,16,11,15,11,15,11,16,12,16,11,17,12,17,12,17,13,16,13,15,14,16,15,15,15,15,16,16,15,15,17,14,18,0,0,8,-4,7,-5,6,-6,7,-6,6,-6,6,-7,6,-7,6,-7,6,-8,5,-8,5,-9,5,-10,4,-10,4,-10,5,-10,4,-12,4,-12,4,-12,3,-12,4,-12,4,-13,3,-13,4,-13,2,-14,3,-15,2,-16,0,0,2,-16,3,-16,2,-17,2,-17,2,-17,3,-18,3,-18,2,-17,3,-18,2,-18,1,-20,2,-19,2,-19,2,-20,3,-20,3,-21,2,-21,3,-21,4,-21,5,-21,6,-22,6,-21,6,-21,6,-22,8,-22,9,-22,0,0]"
