CSI_DATA: gC, idS, sC, sC_M, bc1, bc2, bcM1, retry, RSSI1, RSSI2, tCSI1_S, tCSI2_S, tdma_S, t_M(ms), dt_rxM, tin_cycle, [data]
CSI_DATA: 1,3,1,1,0,0,0,0,-21,-22,4294811.369,4294808.544,0.117,17.771,17.771,17.771,"[-7,-12,-8,-12,-8,-11,-8,-13,-8,-13,-8,-13,-8,-13,-8,-12,-9,-13,-9,-12,-10,-13,-10,-13,-10,-13,-11,-13,-10,-14,-12,-13,-11,-12,-11,-13,-12,-13,-12,-13,-11,-14,-12,-13,-11,-14,-14,-13,-13,-14,-14,-14,0,0,-14,-14,-14,-14,-15,-14,-15,-13,-15,-14,-15,-15,-15,-15,-15,-15,-16,-15,-15,-15,-17,-15,-15,-15,-15,-15,-16,-16,-15,-15,-16,-16,-16,-16,-16,-16,-15,-16,-14,-17,-14,-18,-14,-18,-13,-18,-15,-18,-13,-19,-12,-19,0,0,0,15,0,15,2,15,1,17,1,15,1,16,0,15,1,15,0,15,1,15,1,16,2,16,2,16,2,16,1,16,2,16,2,16,1,15,2,16,1,16,1,16,2,16,1,15,3,15,2,16,3,17,0,0,3,16,3,16,3,17,3,16,3,16,2,17,2,16,2,16,2,16,3,16,3,17,3,16,2,15,2,16,2,16,2,17,2,16,2,17,2,16,1,16,1,16,1,15,0,16,1,16,0,16,0,16,0,0]"
CSI_DATA: 2,4,1,1,0,0,0,0,-23,-27,4294815.85,4294812.268,45.382,85.52,85.52,85.52,"[8,9,8,9,9,7,9,8,9,7,9,7,9,7,9,6,9,6,9,5,10,6,10,6,11,5,11,5,11,5,12,4,11,3,11,3,12,3,12,3,12,3,13,3,12,3,13,1,14,2,14,1,0,0,14,1,15,1,15,0,15,0,16,1,16,0,16,0,16,0,17,0,16,0,18,-1,18,0,18,0,19,0,18,0,20,0,20,0,20,1,20,1,20,2,21,3,21,3,21,4,22,4,21,6,21,6,0,0,-1,15,0,15,1,15,1,17,0,16,0,16,1,17,1,16,0,17,1,16,2,18,2,18,2,18,3,18,1,18,4,18,4,17,3,17,4,18,3,18,2,18,4,18,3,18,5,18,5,19,6,19,0,0,6,18,6,18,7,19,7,18,7,18,7,18,7,18,8,18,8,18,9,18,11,19,10,18,10,19,10,20,11,20,12,21,12,21,11,22,11,23,10,23,9,25,8,24,8,26,9,26,6,27,5,27,0,0]"
CSI_DATA: 3,5,1,1,0,0,0,0,-33,-30,4294810.982,4294808.158,91.672,139.455,139.455,139.455,"[10,12,10,11,11,10,12,12,12,11,12,10,11,10,12,9,12,9,12,8,13,8,13,7,14,8,13,7,13,7,14,6,13,5,13,5,14,5,13,5,13,5,13,5,13,5,13,3,14,4,14,3,0,0,13,3,14,3,14,3,14,3,14,4,13,4,13,5,13,5,13,5,13,5,13,5,12,5,12,6,12,6,11,6,12,7,12,7,10,8,10,8,9,8,8,9,8,9,7,9,7,9,6,10,5,10,0,0,6,14,6,13,7,12,6,13,6,12,5,12,5,12,5,11,5,11,5,9,6,11,6,10,6,9,6,8,6,9,7,8,6,7,7,8,8,7,7,7,8,7,8,6,8,7,9,5,10,6,10,6,0,0,10,6,11,6,11,6,11,6,11,7,11,7,11,7,11,7,11,7,11,8,11,8,11,7,10,8,11,8,10,8,10,9,10,8,10,9,9,9,8,9,8,10,8,9,7,9,8,9,6,10,6,10,0,0]"
CSI_DATA: 4,6,1,1,0,0,0,0,-31,-24,127775.363,4294823.488,145.482,192.954,192.954,192.954,"[-21,8,-21,8,-19,9,-21,9,-20,8,-20,8,-19,7,-18,7,-18,8,-17,9,-18,10,-17,10,-17,11,-16,11,-17,10,-16,12,-16,12,-16,11,-16,13,-17,12,-17,11,-17,12,-17,11,-16,13,-17,13,-17,13,0,0,-17,11,-17,11,-17,11,-16,10,-16,9,-16,8,-16,8,-15,7,-15,7,-14,6,-14,6,-13,4,-13,4,-12,3,-11,3,-11,2,-10,2,-10,1,-9,0,-8,0,-7,-1,-5,-2,-4,-2,-3,-2,-2,-3,-1,-3,0,0,-13,3,-12,4,-12,5,-13,4,-12,4,-12,4,-12,4,-12,4,-12,4,-11,4,-12,4,-12,4,-12,4,-12,4,-12,4,-11,5,-11,4,-11,4,-11,5,-11,5,-11,4,-11,5,-11,4,-10,4,-11,5,-11,5,0,0,-11,5,-10,5,-10,5,-10,5,-11,5,-11,5,-10,5,-10,5,-11,5,-10,5,-11,5,-10,4,-10,4,-10,4,-10,4,-11,5,-10,4,-11,5,-10,5,-10,4,-11,4,-10,4,-10,4,-11,4,-12,3,-11,3,0,0]"
CSI_DATA: 5,7,1,1,0,0,0,0,-22,-23,4294806.465,4294803.731,191.51,258.398,258.398,258.398,"[-13,-9,-14,-9,-13,-8,-14,-10,-13,-9,-13,-9,-12,-9,-12,-8,-12,-8,-12,-7,-13,-8,-13,-7,-13,-7,-13,-6,-12,-7,-13,-5,-13,-5,-12,-4,-13,-4,-13,-5,-13,-5,-13,-4,-12,-4,-13,-2,-14,-3,-14,-2,0,0,-14,-1,-15,-1,-16,-1,-15,0,-16,-1,-16,-1,-16,-1,-16,-1,-16,0,-16,1,-18,2,-17,1,-18,1,-19,1,-18,1,-20,1,-20,1,-21,1,-21,0,-20,-1,-22,-2,-21,-3,-22,-3,-23,-2,-23,-4,-23,-5,0,0,-8,-15,-8,-15,-9,-14,-9,-16,-8,-15,-8,-15,-8,-15,-7,-15,-7,-15,-8,-15,-8,-16,-8,-16,-8,-15,-8,-15,-7,-15,-8,-16,-7,-15,-7,-15,-7,-15,-7,-15,-6,-15,-6,-15,-5,-15,-7,-14,-6,-15,-6,-15,0,0,-5,-14,-5,-14,-6,-13,-5,-12,-5,-12,-5,-12,-5,-12,-5,-11,-5,-11,-5,-10,-6,-11,-6,-10,-6,-10,-7,-10,-6,-10,-7,-9,-8,-9,-7,-9,-8,-9,-7,-9,-8,-10,-8,-10,-8,-10,-9,-10,-7,-11,-7,-11,0,0]"
CSI_DATA: 6,3,2,2,1,1,1,0,-21,-22,238.732,239.781,11.385,407.571,149.173,12.816,"[-6,-12,-7,-12,-7,-11,-8,-13,-8,-13,-8,-13,-8,-13,-8,-13,-8,-13,-9,-12,-10,-14,-10,-13,-10,-14,-10,-14,-10,-14,-11,-14,-11,-14,-10,-14,-12,-14,-11,-14,-11,-15,-12,-14,-11,-15,-13,-14,-13,-16,-13,-15,0,0,-13,-15,-13,-15,-14,-16,-13,-15,-13,-16,-14,-16,-14,-16,-14,-16,-14,-16,-13,-15,-15,-16,-13,-16,-14,-16,-14,-17,-14,-16,-15,-17,-15,-17,-14,-17,-14,-17,-13,-17,-13,-18,-12,-18,-13,-18,-14,-18,-12,-19,-12,-20,0,0,8,12,9,11,10,11,10,13,10,12,9,12,9,12,9,12,9,12,9,11,10,13,10,12,10,12,10,12,9,13,11,12,10,11,10,12,10,11,10,12,10,13,10,12,9,12,10,11,11,13,11,12,0,0,10,12,11,12,11,11,11,11,11,12,11,12,10,12,10,11,11,11,11,11,12,11,10,11,10,11,11,11,11,11,11,11,11,11,11,12,11,12,10,12,9,12,9,11,9,12,10,11,8,13,8,13,0,0]"
CSI_DATA: 7,4,2,2,1,1,1,0,-24,-28,242.447,243.497,56.793,466.696,208.298,71.941,"[10,-7,9,-7,9,-8,10,-8,9,-8,9,-8,8,-8,8,-8,8,-8,8,-8,8,-9,7,-10,8,-10,7,-10,7,-10,7,-11,6,-11,6,-11,6,-11,6,-12,7,-11,6,-12,6,-12,5,-13,6,-14,5,-14,0,0,5,-14,5,-15,5,-15,4,-15,5,-15,5,-16,5,-16,5,-16,4,-16,5,-16,4,-18,6,-17,6,-17,5,-18,5,-18,5,-19,6,-20,6,-19,7,-20,8,-19,9,-20,9,-19,10,-20,10,-20,12,-19,12,-19,0,0,-16,-5,-16,-5,-17,-3,-17,-5,-17,-4,-17,-5,-18,-4,-17,-4,-18,-4,-17,-4,-19,-4,-19,-3,-19,-3,-18,-3,-18,-4,-20,-2,-18,-2,-19,-2,-18,-1,-19,-2,-19,-3,-19,-2,-19,-3,-19,0,-20,-2,-20,-1,0,0,-19,0,-20,0,-20,0,-20,1,-19,0,-20,1,-19,1,-19,1,-20,2,-20,2,-21,3,-20,2,-20,3,-21,3,-22,3,-22,4,-23,5,-23,4,-24,3,-23,3,-25,2,-24,1,-25,1,-26,2,-27,-2,-26,-3,0,0]"
CSI_DATA: 8,5,2,2,1,1,1,0,-32,-30,238.341,239.390,103.75,531.549,273.151,136.794,"[-12,-6,-12,-6,-12,-5,-14,-5,-13,-4,-13,-4,-13,-3,-13,-2,-13,-2,-13,-2,-14,-1,-14,-1,-14,0,-14,-1,-14,-1,-14,1,-14,1,-13,1,-14,2,-14,1,-14,1,-14,2,-13,1,-14,3,-15,3,-15,3,0,0,-15,3,-15,3,-16,3,-14,3,-16,2,-16,3,-16,2,-15,2,-15,2,-15,2,-16,2,-15,1,-16,1,-16,0,-15,0,-16,0,-16,0,-16,-1,-15,-1,-14,-2,-14,-3,-14,-3,-14,-3,-14,-3,-12,-4,-12,-4,0,0,-12,10,-12,10,-11,10,-12,10,-11,9,-11,9,-11,8,-10,8,-10,8,-9,8,-9,9,-9,9,-9,8,-8,8,-8,7,-7,9,-6,8,-6,8,-5,8,-5,8,-6,8,-5,9,-5,8,-4,9,-4,10,-4,10,0,0,-4,11,-4,11,-4,12,-3,11,-4,11,-4,12,-5,11,-5,11,-5,12,-5,12,-4,12,-5,11,-5,11,-5,11,-5,11,-5,12,-6,11,-6,11,-7,11,-7,10,-8,10,-7,9,-8,8,-7,9,-8,8,-8,8,0,0]"
CSI_DATA: 9,6,2,2,1,1,1,0,-31,-23,249.541,250.590,156.810,595.349,336.951,200.594,"[5,-18,5,-19,4,-18,5,-19,5,-18,5,-18,4,-18,4,-17,4,-17,3,-17,3,-18,2,-18,2,-18,1,-18,2,-18,0,-19,0,-18,0,-18,-1,-19,0,-19,1,-19,0,-19,1,-19,-1,-19,1,-20,0,-20,0,0,0,-20,1,-20,0,-20,0,-19,1,-19,2,-19,2,-18,2,-18,2,-17,3,-16,2,-16,3,-15,3,-15,3,-15,3,-13,3,-13,3,-12,3,-11,3,-10,3,-9,4,-8,3,-8,3,-6,2,-6,3,-5,2,-4,0,0,-12,-9,-12,-9,-12,-8,-13,-10,-12,-8,-12,-9,-12,-8,-12,-8,-12,-8,-11,-8,-13,-8,-13,-8,-12,-7,-12,-7,-12,-8,-13,-7,-12,-6,-12,-6,-12,-6,-12,-7,-12,-7,-12,-6,-12,-6,-12,-5,-13,-7,-13,-5,0,0,-13,-5,-13,-6,-13,-5,-13,-5,-13,-5,-14,-6,-13,-6,-13,-6,-14,-5,-13,-5,-14,-5,-13,-6,-13,-6,-13,-6,-13,-6,-14,-6,-13,-6,-13,-6,-13,-6,-13,-7,-13,-7,-12,-8,-12,-8,-12,-7,-12,-8,-12,-8,0,0]"
CSI_DATA: 10,7,2,2,1,1,1,0,-23,-24,233.916,234.965,202.358,662.796,404.398,268.41,"[-5,13,-5,13,-3,13,-5,14,-5,13,-5,13,-4,13,-4,12,-4,12,-3,12,-4,13,-3,12,-3,12,-2,12,-3,12,-1,12,-1,12,-1,11,0,12,-1,12,-1,12,0,12,0,11,1,11,1,12,2,12,0,0,3,12,3,12,4,13,4,12,4,13,4,13,5,13,5,13,5,13,6,13,7,14,6,14,6,15,7,16,7,15,8,17,7,17,7,18,6,18,6,18,5,20,5,20,4,21,5,22,3,22,2,23,0,0,7,-15,7,-15,6,-15,7,-16,7,-16,7,-15,7,-15,7,-15,7,-15,7,-14,8,-16,7,-16,7,-15,7,-15,8,-14,8,-16,7,-15,8,-14,7,-15,8,-14,9,-14,8,-14,9,-13,7,-14,9,-13,9,-13,0,0,8,-12,8,-12,7,-12,7,-11,7,-10,7,-11,7,-10,6,-9,6,-10,5,-10,5,-10,4,-9,4,-9,3,-9,3,-9,3,-10,2,-9,2,-10,2,-10,2,-10,2,-10,2,-10,2,-10,1,-11,2,-12,3,-12,0,0]"
