CSI_DATA: gC, idS, sC, sC_M, bc1, bc2, bcM1, retry, RSSI1, RSSI2, tCSI1_S, tCSI2_S, tdma_S, t_M(ms), dt_rxM, tin_cycle, [data]
CSI_DATA: 11,4,3,3,3,2,3,0,-21,-26,1017.219,1022.310,63.27,1249.212,252.766,73.562,"[13,-7,13,-7,11,-8,13,-8,12,-8,12,-8,11,-8,11,-9,11,-8,10,-9,10,-10,9,-11,9,-11,9,-11,9,-11,8,-13,7,-13,7,-13,7,-13,7,-14,7,-14,7,-15,7,-14,5,-16,6,-17,5,-17,0,0,5,-18,5,-19,5,-20,4,-19,4,-20,4,-21,5,-21,4,-21,4,-21,4,-22,3,-24,4,-23,4,-24,4,-25,5,-24,5,-25,5,-26,5,-26,7,-26,7,-25,9,-27,10,-26,10,-27,10,-27,12,-26,13,-26,0,0,16,-6,16,-6,15,-8,17,-7,16,-7,16,-6,16,-6,16,-6,15,-6,14,-7,15,-8,15,-9,15,-9,15,-9,14,-8,15,-10,14,-10,14,-9,13,-10,14,-10,14,-10,13,-11,14,-10,12,-13,13,-13,13,-14,0,0,13,-14,13,-14,13,-15,12,-15,12,-15,13,-15,14,-15,13,-15,14,-16,13,-17,13,-18,13,-17,13,-17,14,-18,15,-17,16,-18,15,-19,16,-18,17,-17,18,-16,19,-16,19,-15,20,-15,19,-16,21,-13,22,-13,0,0]"
CSI_DATA: 12,5,2,2,1,1,3,0,-33,-24,1015.170,1020.262,108.723,1316.256,319.810,140.606,"[9,-6,9,-7,8,-8,9,-8,7,-8,7,-8,7,-9,7,-9,6,-9,5,-9,6,-11,5,-11,5,-11,5,-11,5,-11,4,-12,3,-12,3,-11,3,-12,3,-12,3,-12,3,-12,2,-12,1,-12,2,-13,1,-13,0,0,1,-13,1,-13,0,-14,0,-14,1,-14,1,-14,1,-14,1,-14,1,-15,0,-15,0,-16,1,-16,1,-16,1,-17,1,-16,2,-17,2,-17,3,-18,4,-17,4,-17,5,-17,6,-17,7,-16,7,-17,8,-15,8,-15,0,0,-10,11,-9,10,-8,11,-10,11,-9,10,-9,10,-9,10,-8,10,-8,10,-7,9,-8,10,-7,11,-7,10,-7,11,-7,10,-6,11,-6,10,-6,10,-5,10,-6,10,-6,10,-6,10,-6,10,-4,11,-5,12,-5,12,0,0,-5,12,-5,12,-4,12,-4,12,-5,12,-5,12,-5,12,-5,12,-5,13,-5,12,-4,13,-5,12,-5,12,-5,13,-5,13,-6,13,-6,13,-6,13,-7,13,-7,12,-8,12,-8,12,-8,12,-7,12,-9,12,-9,11,0,0]"
CSI_DATA: 13,6,3,3,3,2,3,0,-28,-21,944.45,949.136,163.127,1379.127,382.681,203.477,"[-9,-14,-10,-15,-10,-13,-10,-15,-9,-14,-10,-14,-9,-13,-9,-12,-10,-12,-9,-11,-11,-12,-11,-11,-11,-11,-11,-10,-12,-11,-13,-9,-13,-9,-12,-9,-13,-9,-14,-9,-14,-9,-14,-8,-14,-9,-16,-7,-16,-9,-17,-8,0,0,-17,-9,-17,-9,-18,-9,-17,-8,-18,-10,-17,-10,-17,-10,-17,-10,-17,-10,-17,-10,-18,-10,-16,-11,-16,-11,-16,-12,-15,-11,-16,-12,-15,-12,-15,-12,-13,-12,-13,-12,-12,-12,-11,-13,-11,-12,-11,-12,-10,-12,-10,-12,0,0,10,1,10,1,9,0,11,0,10,0,10,-1,10,-1,10,-1,10,-1,9,-2,11,-2,10,-3,11,-3,10,-3,11,-2,11,-3,10,-4,10,-3,10,-4,10,-3,11,-3,10,-3,10,-4,10,-5,11,-4,11,-5,0,0,11,-5,11,-5,11,-6,10,-6,11,-6,11,-6,12,-5,11,-6,12,-7,11,-7,12,-8,12,-7,12,-7,13,-7,13,-7,14,-8,13,-7,14,-7,15,-6,15,-6,15,-5,15,-4,15,-4,15,-5,16,-3,17,-3,0,0]"
CSI_DATA: 14,7,3,3,3,2,3,0,-25,-23,1010.131,1015.223,207.877,1449.147,452.701,273.497,"[-9,-2,-10,-2,-10,-1,-10,-1,-10,0,-11,0,-10,0,-11,1,-11,1,-10,2,-12,3,-12,3,-12,4,-12,4,-12,3,-13,5,-12,4,-12,5,-13,6,-13,5,-14,5,-13,6,-13,6,-13,8,-14,8,-14,8,0,0,-14,9,-15,8,-15,10,-14,10,-15,9,-16,10,-16,10,-15,10,-16,10,-15,10,-16,12,-15,11,-17,11,-17,11,-17,11,-18,12,-18,12,-18,12,-19,11,-19,10,-20,10,-20,9,-20,9,-21,11,-22,8,-22,8,0,0,13,-11,13,-11,12,-11,14,-11,13,-10,13,-10,13,-10,13,-9,13,-10,12,-10,13,-11,12,-11,12,-10,12,-11,12,-9,12,-11,11,-10,11,-10,11,-10,11,-9,12,-9,11,-10,11,-9,10,-11,11,-11,11,-11,0,0,10,-11,10,-11,10,-12,9,-11,10,-11,11,-11,11,-11,11,-10,10,-11,10,-11,10,-12,10,-11,10,-11,10,-11,11,-11,11,-11,10,-10,11,-10,11,-9,11,-9,12,-9,11,-8,11,-8,10,-9,11,-8,11,-7,0,0]"
CSI_DATA: 15,4,4,4,4,3,4,0,-23,-28,1407.227,1412.280,62.914,1630.29,180.882,64.383,"[1,-14,1,-14,0,-13,1,-14,0,-13,0,-14,0,-13,-1,-13,-1,-13,-2,-12,-3,-13,-3,-13,-4,-13,-4,-12,-4,-12,-5,-12,-6,-11,-6,-11,-7,-12,-7,-12,-7,-12,-8,-12,-8,-12,-10,-11,-10,-12,-11,-12,0,0,-11,-12,-12,-12,-13,-12,-13,-12,-14,-12,-14,-13,-14,-13,-14,-13,-15,-13,-15,-12,-17,-13,-16,-13,-17,-14,-17,-14,-17,-14,-18,-15,-18,-15,-18,-16,-18,-17,-17,-17,-17,-18,-16,-19,-16,-19,-17,-20,-15,-21,-14,-22,0,0,9,9,9,9,10,8,10,9,10,8,9,9,10,8,10,7,9,7,10,6,11,7,11,6,11,6,11,5,10,5,12,4,11,4,12,3,12,3,12,3,12,4,12,3,12,3,12,1,13,2,14,1,0,0,13,1,13,0,13,-1,14,-1,14,-1,14,-1,14,-1,14,-1,15,-2,15,-2,16,-3,16,-2,16,-2,17,-3,17,-2,18,-3,18,-2,19,-2,19,-1,19,0,19,1,18,1,19,2,19,2,19,4,19,5,0,0]"
CSI_DATA: 16,5,3,3,2,2,4,0,-32,-22,1405.178,1410.231,108.610,1685.343,236.196,119.697,"[-8,-4,-8,-4,-8,-3,-8,-4,-8,-3,-8,-3,-8,-3,-8,-3,-8,-3,-8,-3,-9,-3,-9,-2,-9,-2,-9,-3,-9,-3,-9,-2,-8,-2,-9,-2,-9,-2,-9,-3,-10,-2,-10,-2,-9,-2,-10,-1,-11,-2,-11,-1,0,0,-11,-1,-11,0,-12,0,-12,0,-12,0,-13,1,-13,1,-13,1,-13,2,-14,2,-15,4,-15,3,-16,3,-16,3,-17,4,-17,5,-19,5,-19,5,-20,5,-20,4,-21,4,-21,3,-22,3,-23,4,-22,2,-23,2,0,0,-7,14,-6,14,-5,14,-7,15,-6,14,-6,14,-6,13,-6,13,-6,13,-5,13,-6,14,-5,14,-5,14,-5,13,-6,13,-4,14,-4,13,-5,12,-4,13,-5,13,-5,13,-4,13,-5,12,-3,13,-4,13,-4,13,0,0,-3,13,-4,13,-3,13,-3,13,-4,12,-4,13,-4,13,-4,12,-4,13,-3,12,-3,13,-4,12,-4,12,-4,12,-4,12,-4,12,-4,12,-4,12,-4,12,-4,11,-5,11,-5,10,-5,10,-5,11,-5,10,-5,10,0,0]"
CSI_DATA: 17,6,4,4,4,3,4,0,-29,-19,1334.53,1339.105,162.998,1749.498,300.351,183.852,"[2,-12,2,-12,1,-12,2,-14,2,-12,2,-13,2,-13,2,-12,2,-13,2,-13,2,-14,1,-14,1,-14,0,-14,1,-15,-1,-15,-1,-14,-1,-15,-2,-16,-2,-16,-1,-17,-3,-17,-2,-16,-5,-18,-5,-19,-6,-20,0,0,-6,-20,-6,-21,-7,-21,-7,-20,-7,-22,-7,-23,-7,-23,-7,-22,-7,-23,-8,-23,-9,-24,-8,-24,-8,-24,-8,-25,-8,-24,-8,-25,-8,-25,-8,-26,-7,-26,-6,-25,-6,-26,-5,-26,-5,-26,-6,-27,-5,-26,-3,-26,0,0,-9,8,-9,8,-8,9,-9,9,-8,9,-9,9,-9,9,-8,9,-8,9,-7,10,-9,11,-7,11,-7,11,-7,11,-7,11,-7,11,-6,10,-7,10,-6,11,-6,11,-7,11,-6,11,-7,11,-5,12,-5,13,-5,13,0,0,-5,13,-5,14,-4,13,-4,14,-4,14,-5,14,-4,14,-4,14,-5,15,-4,15,-4,16,-5,15,-5,15,-5,16,-5,16,-5,17,-5,16,-6,17,-7,17,-7,16,-8,17,-8,16,-9,16,-9,17,-10,16,-11,16,0,0]"
CSI_DATA: 18,7,4,4,4,3,4,0,-30,-23,1400.140,1405.193,207.764,1815.657,366.510,250.11,"[-3,6,-3,6,-2,6,-1,7,-1,7,-1,7,0,7,0,7,1,7,2,7,2,8,3,8,4,8,4,8,5,9,6,9,6,8,6,9,8,9,8,10,8,11,9,11,8,11,11,11,11,12,12,12,0,0,12,12,13,13,14,13,13,13,14,14,14,15,14,15,14,15,15,15,14,15,16,15,15,15,15,15,15,16,15,15,16,16,17,16,16,17,16,17,15,17,15,18,15,18,15,19,17,19,15,20,14,21,0,0,12,-10,12,-11,11,-11,12,-11,11,-10,11,-10,11,-10,10,-10,10,-10,10,-10,10,-11,10,-12,10,-11,9,-11,9,-11,9,-12,8,-12,8,-12,8,-12,9,-12,9,-12,8,-12,9,-12,7,-13,9,-13,8,-14,0,0,8,-14,8,-14,8,-14,8,-14,9,-14,9,-14,9,-14,9,-13,9,-14,9,-13,9,-15,9,-13,8,-13,9,-13,9,-13,9,-13,9,-12,10,-12,9,-12,9,-11,10,-11,9,-10,10,-10,9,-11,10,-10,10,-9,0,0]"
CSI_DATA: 19,3,4,4,5,3,5,0,-23,-37,1783.212,1788.955,15.768,1972.839,157.182,17.196,"[4,-16,4,-17,3,-17,5,-18,4,-17,5,-17,5,-17,4,-16,5,-16,4,-16,5,-18,4,-17,5,-17,4,-17,5,-17,4,-17,4,-16,4,-15,4,-16,4,-16,5,-15,4,-15,4,-14,3,-16,4,-16,3,-16,0,0,2,-15,2,-15,2,-16,1,-14,2,-16,2,-15,2,-15,1,-15,1,-15,0,-15,-1,-16,0,-15,0,-16,-1,-16,-1,-16,-2,-17,-2,-17,-1,-18,-1,-18,0,-18,0,-19,0,-19,0,-20,0,-21,2,-21,3,-22,0,0,-9,-2,-10,-2,-10,-1,-11,-2,-10,-2,-11,-2,-11,-3,-11,-3,-11,-3,-10,-3,-12,-4,-11,-3,-11,-3,-11,-3,-11,-4,-12,-3,-11,-3,-11,-3,-11,-3,-11,-3,-11,-4,-11,-3,-11,-4,-12,-3,-12,-4,-12,-3,0,0,-12,-3,-12,-3,-13,-3,-12,-3,-12,-3,-12,-3,-12,-3,-12,-3,-13,-3,-12,-3,-13,-3,-12,-3,-12,-3,-13,-3,-12,-3,-13,-3,-13,-2,-13,-3,-13,-3,-13,-3,-14,-4,-14,-3,-14,-4,-15,-3,-15,-5,-16,-5,0,0]"
CSI_DATA: 20,4,5,5,5,4,5,0,-22,-27,1797.227,1802.970,63.29,2030.237,214.580,74.594,"[-7,8,-7,9,-6,9,-7,10,-6,9,-6,10,-5,9,-5,9,-5,10,-4,9,-4,11,-3,11,-3,11,-3,11,-3,11,-2,12,-1,11,-1,11,0,12,-1,12,0,12,0,13,0,12,2,13,2,14,3,14,0,0,3,14,3,14,4,15,5,14,5,16,5,16,6,16,6,16,7,16,7,16,8,18,7,17,7,18,8,19,8,19,9,20,8,21,9,22,8,22,7,22,6,23,6,23,5,24,6,25,3,25,3,26,0,0,-12,5,-12,5,-11,6,-13,6,-12,6,-12,7,-12,6,-11,6,-12,7,-10,7,-12,8,-11,9,-11,9,-11,9,-11,9,-11,10,-10,10,-10,9,-11,11,-12,10,-12,10,-11,11,-11,9,-10,11,-11,11,-11,12,0,0,-11,11,-11,11,-11,12,-10,11,-11,12,-12,12,-11,11,-11,11,-11,12,-10,11,-11,12,-11,12,-11,11,-12,12,-12,11,-12,12,-12,11,-13,11,-13,10,-13,9,-14,8,-13,8,-14,8,-14,9,-14,6,-14,6,0,0]"
