CSI_DATA: gC, idS, sC, sC_M, bc1, bc2, bcM1, retry, RSSI1, RSSI2, tCSI1_S, tCSI2_S, tdma_S, t_M(ms), dt_rxM, tin_cycle, [data]
CSI_DATA: 1,4,1,1,0,0,0,0,-30,-25,4294810.941,4294813.36,43.151,59.919,59.919,59.919,"[1,1,1,1,2,0,2,0,3,0,3,0,4,0,4,-1,4,-1,4,-2,6,-2,5,-3,6,-3,6,-4,6,-3,6,-5,6,-5,6,-5,6,-6,6,-6,6,-7,6,-8,7,-8,5,-10,6,-10,6,-11,0,0,5,-12,6,-13,5,-14,5,-14,5,-15,5,-16,5,-16,5,-17,5,-17,5,-18,5,-19,6,-19,5,-19,5,-21,6,-20,7,-22,6,-22,7,-22,7,-22,8,-21,9,-22,9,-21,10,-21,10,-22,12,-20,12,-20,0,0,-12,4,-12,4,-11,5,-12,5,-11,5,-11,5,-11,6,-10,6,-10,6,-9,7,-10,8,-9,8,-8,9,-8,9,-8,8,-8,9,-7,9,-7,9,-6,10,-7,10,-7,11,-6,11,-6,11,-4,11,-5,13,-4,13,0,0,-3,13,-3,14,-2,15,-2,15,-2,15,-2,16,-2,17,-1,17,-1,18,0,18,0,20,-1,19,-1,20,-1,21,-1,21,-1,23,-1,23,-1,23,-3,24,-4,24,-5,25,-5,24,-6,25,-5,26,-8,26,-9,25,0,0]"
CSI_DATA: 2,5,1,1,0,0,0,0,-24,-20,4294811.372,4294813.470,91.405,120.765,120.765,120.765,"[-11,2,-12,2,-11,3,-12,3,-12,3,-12,4,-11,4,-11,4,-11,4,-11,5,-12,5,-12,6,-11,6,-11,6,-11,6,-11,7,-11,7,-10,7,-10,8,-11,8,-11,8,-10,9,-11,8,-10,9,-11,10,-10,11,0,0,-10,11,-11,11,-11,12,-10,12,-11,12,-11,13,-11,13,-11,13,-11,13,-11,13,-12,14,-12,13,-12,13,-12,14,-13,13,-13,15,-13,14,-13,14,-13,13,-13,13,-14,13,-15,12,-15,12,-15,12,-16,11,-16,11,0,0,-9,14,-9,14,-8,15,-9,16,-9,15,-9,15,-9,15,-9,14,-9,15,-8,15,-8,16,-7,16,-7,16,-7,16,-8,16,-6,18,-5,17,-6,16,-5,17,-6,17,-7,18,-6,18,-7,17,-4,18,-6,19,-5,20,0,0,-5,20,-4,20,-4,21,-4,20,-4,20,-5,21,-5,21,-5,20,-4,21,-4,21,-4,22,-5,21,-5,21,-4,22,-5,22,-4,23,-4,23,-5,23,-5,23,-6,22,-7,23,-7,22,-8,23,-7,23,-10,23,-10,23,0,0]"
CSI_DATA: 3,6,1,1,0,0,0,0,-19,-17,4294808.174,4294810.364,143.158,186.895,186.895,186.895,"[0,-12,0,-12,-2,-12,-1,-14,-1,-13,-2,-13,-2,-13,-2,-13,-2,-13,-3,-13,-3,-14,-3,-14,-3,-14,-4,-14,-4,-15,-5,-14,-5,-14,-5,-14,-6,-15,-5,-15,-5,-15,-6,-15,-5,-14,-7,-14,-7,-16,-8,-16,0,0,-8,-16,-8,-16,-9,-17,-9,-15,-9,-17,-10,-17,-9,-18,-10,-17,-9,-17,-9,-17,-11,-18,-9,-18,-10,-18,-10,-19,-9,-18,-10,-20,-10,-20,-10,-19,-9,-20,-8,-19,-8,-20,-7,-20,-7,-21,-8,-21,-6,-21,-6,-21,0,0,-8,-5,-9,-5,-9,-4,-10,-5,-9,-5,-9,-5,-9,-5,-9,-5,-9,-5,-9,-4,-10,-5,-10,-4,-10,-4,-10,-4,-10,-4,-10,-3,-10,-3,-10,-3,-10,-3,-10,-3,-11,-3,-11,-2,-10,-3,-11,-1,-12,-2,-12,-1,0,0,-12,-1,-13,-1,-13,0,-13,0,-13,0,-13,0,-14,-1,-13,-1,-14,0,-14,0,-15,0,-14,0,-14,0,-15,0,-15,0,-16,0,-15,0,-15,-1,-15,-1,-15,-2,-16,-2,-15,-3,-15,-2,-16,-2,-16,-3,-16,-4,0,0]"
CSI_DATA: 4,7,1,1,0,0,0,0,-22,-21,4294727.924,4294730.122,190.802,258.570,258.570,258.570,"[-4,-15,-5,-15,-5,-14,-5,-15,-5,-14,-5,-14,-5,-13,-5,-13,-4,-13,-5,-12,-5,-13,-5,-13,-5,-13,-6,-12,-5,-12,-6,-12,-6,-11,-6,-11,-6,-11,-6,-11,-6,-11,-6,-11,-6,-10,-7,-10,-7,-11,-8,-10,0,0,-8,-9,-9,-10,-9,-10,-9,-9,-9,-10,-10,-10,-10,-10,-10,-10,-11,-10,-11,-9,-12,-10,-11,-11,-12,-11,-13,-11,-12,-11,-13,-12,-13,-12,-13,-12,-13,-13,-12,-13,-13,-14,-12,-15,-12,-16,-13,-16,-11,-17,-11,-18,0,0,14,11,14,10,15,10,16,12,14,11,14,11,13,11,13,11,12,12,12,10,12,11,12,10,12,10,11,9,11,9,12,8,11,7,11,7,12,7,12,7,12,8,13,7,12,7,13,5,14,7,14,6,0,0,14,6,14,6,15,6,14,6,14,6,14,6,14,7,14,7,14,6,13,6,15,6,13,6,13,6,13,6,13,6,14,6,13,6,13,6,12,6,12,6,12,7,12,7,12,7,13,6,12,7,11,7,0,0]"
CSI_DATA: 5,3,1,1,1,1,1,0,-34,-27,236.635,241.383,14.904,409.752,151.182,16.420,"[2,1,2,1,3,1,3,1,3,1,4,1,4,0,4,0,5,1,5,0,7,0,7,0,7,0,8,0,8,0,9,0,9,0,8,0,9,0,10,0,10,0,10,0,10,1,11,0,12,0,11,0,0,0,12,-1,12,0,12,-1,12,-1,12,-1,13,-1,13,-1,13,-1,13,-1,13,-2,14,-2,13,-2,14,-2,15,-2,14,-1,15,-2,15,-3,15,-2,16,-2,16,-2,17,-2,17,-1,18,-1,19,-2,19,0,19,1,0,0,-13,0,-12,1,-12,2,-13,2,-12,2,-13,3,-13,2,-12,3,-13,3,-12,4,-13,4,-13,5,-12,5,-12,5,-12,4,-12,6,-11,6,-12,6,-12,7,-12,7,-13,7,-12,7,-13,7,-11,8,-13,9,-13,10,0,0,-12,10,-13,11,-13,11,-13,11,-13,10,-14,11,-14,11,-13,11,-14,11,-14,11,-14,12,-14,11,-15,10,-15,11,-15,11,-15,11,-16,11,-16,10,-16,9,-16,8,-17,8,-16,8,-17,7,-17,8,-17,5,-17,5,0,0]"
CSI_DATA: 6,4,2,2,1,1,1,0,-21,-33,236.104,240.852,58.31,459.282,200.712,65.950,"[-10,-5,-10,-4,-10,-3,-11,-4,-10,-3,-11,-3,-10,-3,-10,-2,-10,-2,-10,-1,-11,-1,-11,-1,-11,0,-11,0,-11,0,-11,0,-10,1,-10,1,-11,2,-11,2,-11,2,-11,3,-10,2,-11,3,-11,4,-11,4,0,0,-11,5,-12,5,-12,6,-11,6,-12,6,-12,7,-12,7,-12,7,-12,7,-12,7,-13,8,-13,8,-13,8,-14,9,-13,8,-14,9,-15,9,-15,8,-15,8,-15,8,-16,7,-17,6,-17,6,-17,6,-17,4,-17,4,0,0,-10,-1,-10,0,-9,1,-10,1,-10,2,-10,2,-10,3,-10,3,-10,3,-9,4,-11,5,-10,5,-10,5,-10,6,-10,6,-10,7,-10,7,-10,6,-9,7,-10,7,-10,7,-9,7,-9,7,-8,8,-9,9,-8,9,0,0,-7,10,-7,10,-6,11,-5,11,-5,11,-5,12,-5,12,-4,13,-4,14,-3,15,-3,16,-3,16,-3,17,-3,18,-3,19,-3,20,-3,21,-4,21,-5,22,-6,22,-7,23,-7,22,-8,23,-8,25,-11,23,-12,23,0,0]"
CSI_DATA: 7,5,2,2,1,1,1,0,-28,-20,236.534,241.282,106.261,522.996,264.426,129.664,"[-12,0,-13,0,-12,1,-13,1,-13,1,-13,1,-12,1,-12,2,-13,2,-12,3,-13,3,-13,4,-13,4,-13,4,-13,4,-13,5,-13,5,-13,5,-13,6,-13,6,-14,6,-14,6,-13,5,-13,7,-14,7,-14,8,0,0,-14,8,-14,8,-15,9,-13,9,-15,9,-15,9,-15,9,-15,9,-15,10,-15,10,-16,11,-16,9,-16,9,-17,10,-16,9,-17,10,-17,10,-18,10,-17,9,-17,8,-18,8,-18,7,-18,7,-18,8,-19,7,-19,6,0,0,6,1,6,1,7,1,7,1,7,1,7,1,7,1,6,1,7,1,7,1,7,1,7,1,7,0,7,0,7,1,8,0,7,0,7,0,7,0,8,0,8,1,8,0,8,1,8,-1,9,0,9,-1,0,0,8,-1,9,-1,9,-1,9,-1,9,-1,9,-1,9,-1,9,-1,9,-1,9,-1,9,-1,9,-1,9,-1,9,-1,9,-1,9,-2,9,-2,9,-1,9,-1,9,-1,10,0,9,-1,10,0,10,-1,10,0,10,1,0,0]"
CSI_DATA: 8,6,2,2,1,1,1,0,-23,-17,233.433,238.180,157.910,580.330,321.760,186.998,"[-10,-7,-11,-7,-11,-6,-12,-8,-12,-7,-12,-7,-12,-7,-12,-7,-12,-7,-12,-6,-14,-8,-14,-7,-14,-7,-14,-7,-14,-7,-15,-6,-14,-5,-14,-5,-15,-5,-15,-5,-15,-5,-16,-4,-15,-5,-16,-3,-17,-5,-18,-3,0,0,-18,-3,-19,-3,-19,-3,-18,-2,-20,-3,-20,-3,-20,-3,-20,-2,-21,-2,-20,-2,-22,-3,-21,-4,-21,-4,-22,-4,-21,-4,-23,-4,-23,-4,-23,-4,-22,-4,-22,-5,-23,-6,-22,-6,-22,-7,-22,-7,-22,-9,-22,-8,0,0,0,-10,0,-10,-1,-10,-1,-11,-1,-11,0,-11,-1,-11,0,-11,-1,-11,-1,-10,-1,-11,-1,-11,-1,-11,-2,-11,-1,-11,-3,-11,-3,-10,-2,-10,-3,-11,-3,-11,-3,-11,-4,-11,-3,-11,-5,-11,-4,-12,-5,-12,0,0,-5,-12,-6,-12,-6,-12,-6,-12,-6,-12,-6,-13,-6,-13,-6,-13,-7,-13,-6,-13,-7,-14,-6,-13,-7,-14,-7,-14,-7,-14,-8,-15,-7,-15,-7,-15,-6,-15,-6,-15,-6,-16,-5,-15,-5,-16,-5,-16,-4,-17,-3,-17,0,0]"
CSI_DATA: 9,7,2,2,1,1,1,0,-22,-21,153.189,157.936,205.359,652.294,393.724,258.962,"[14,-1,14,-1,13,-2,15,-1,13,-1,14,-1,13,-2,13,-2,12,-2,12,-2,13,-2,13,-3,13,-3,12,-3,12,-3,12,-4,12,-4,11,-4,11,-5,11,-5,12,-5,11,-5,11,-5,11,-7,12,-7,11,-8,0,0,11,-8,11,-8,12,-10,10,-9,12,-10,11,-10,12,-11,11,-10,12,-11,11,-11,12,-12,13,-12,13,-12,14,-13,13,-12,15,-14,14,-14,15,-14,15,-13,16,-13,17,-13,18,-12,18,-12,19,-13,20,-11,21,-11,0,0,-17,-8,-17,-8,-18,-7,-18,-9,-18,-8,-17,-9,-17,-9,-16,-9,-16,-9,-16,-9,-17,-10,-16,-9,-16,-9,-15,-8,-14,-8,-16,-7,-15,-6,-15,-6,-15,-5,-16,-6,-16,-7,-16,-6,-15,-7,-16,-5,-17,-6,-17,-5,0,0,-17,-5,-18,-5,-17,-5,-17,-5,-16,-5,-17,-6,-16,-6,-16,-6,-16,-6,-16,-6,-17,-6,-15,-6,-15,-6,-15,-6,-15,-6,-15,-5,-15,-5,-14,-5,-14,-6,-13,-6,-13,-6,-13,-6,-13,-6,-13,-6,-12,-7,-12,-6,0,0]"
CSI_DATA: 10,3,2,2,2,2,2,0,-25,-26,626.543,636.520,19.884,804.780,152.486,21.421,"[-3,12,-3,12,-2,13,-2,14,-3,13,-2,14,-2,14,-2,13,-3,14,-2,14,-2,15,-2,16,-2,16,-2,16,-2,16,-1,17,-1,16,-1,16,0,17,-1,17,-2,18,-1,18,-2,17,0,18,-1,19,0,19,0,0,1,19,0,20,1,20,1,19,0,20,1,21,0,20,0,20,0,20,0,20,1,21,-1,20,0,20,0,21,0,20,1,22,0,22,0,21,0,21,0,21,-1,22,-1,21,-2,22,-1,22,-3,22,-3,22,0,0,9,-1,9,-2,9,-3,11,-3,10,-2,11,-3,10,-2,11,-3,11,-2,11,-4,12,-4,12,-4,12,-4,12,-4,13,-4,13,-5,12,-5,12,-5,12,-6,13,-5,14,-5,13,-6,13,-5,13,-8,15,-7,14,-8,0,0,15,-8,15,-8,15,-9,14,-9,15,-8,16,-8,15,-8,15,-8,16,-9,16,-9,16,-10,16,-8,15,-9,16,-9,16,-8,17,-9,16,-8,16,-8,16,-8,16,-7,16,-6,16,-6,15,-7,15,-7,15,-5,15,-5,0,0]"
