CSI_DATA: gC, idS, sC, sC_M, bc1, bc2, bcM1, retry, RSSI1, RSSI2, tCSI1_S, tCSI2_S, tdma_S, t_M(ms), dt_rxM, tin_cycle, [data]
CSI_DATA: 1,3,1,1,0,0,0,0,-23,-29,4294809.685,4294816.974,0.118,22.663,22.663,22.663,"[-7,-10,-8,-10,-8,-9,-9,-11,-9,-10,-9,-10,-9,-10,-9,-9,-9,-10,-9,-9,-10,-10,-11,-9,-11,-9,-11,-9,-11,-10,-12,-9,-12,-9,-11,-9,-12,-8,-12,-9,-12,-9,-12,-8,-12,-8,-14,-7,-14,-8,-15,-7,0,0,-15,-7,-15,-7,-16,-7,-15,-6,-16,-7,-16,-6,-17,-7,-16,-6,-18,-7,-17,-6,-19,-6,-18,-6,-19,-6,-19,-7,-19,-7,-20,-7,-20,-7,-20,-8,-20,-8,-19,-9,-20,-10,-20,-10,-20,-10,-21,-10,-19,-12,-19,-12,0,0,11,-12,11,-12,10,-13,12,-14,12,-13,12,-13,12,-13,11,-12,12,-12,11,-12,12,-13,11,-13,11,-13,11,-13,12,-13,11,-15,10,-14,10,-14,10,-15,11,-15,12,-15,11,-15,12,-15,10,-17,12,-17,11,-18,0,0,11,-17,11,-17,11,-18,11,-18,12,-17,12,-18,12,-17,12,-17,12,-17,11,-17,12,-19,11,-17,11,-17,11,-17,11,-16,11,-18,11,-17,11,-17,11,-17,11,-16,12,-16,11,-15,11,-15,11,-16,12,-15,12,-14,0,0]"
CSI_DATA: 2,4,1,1,0,0,0,0,-26,-37,4294809.851,4294817.136,48.280,95.874,95.874,95.874,"[0,10,1,10,2,9,2,10,2,10,2,10,2,9,2,9,2,9,4,8,4,9,4,9,5,9,5,9,5,9,6,9,6,8,6,9,6,9,6,9,6,9,7,9,6,9,8,8,8,10,8,9,0,0,8,9,9,9,9,10,9,9,9,10,9,10,9,11,9,10,9,11,9,10,10,11,9,10,9,11,9,11,9,11,9,12,9,12,8,12,8,12,7,12,7,12,7,12,7,13,7,12,5,13,5,12,0,0,-16,-1,-16,-1,-16,0,-16,0,-16,0,-16,0,-15,1,-15,1,-15,1,-14,2,-15,2,-15,3,-14,3,-14,3,-14,2,-14,4,-13,4,-13,4,-12,5,-13,5,-13,4,-12,5,-12,4,-11,6,-12,6,-12,6,0,0,-11,6,-12,7,-12,7,-11,7,-11,6,-12,7,-12,6,-12,7,-12,6,-12,7,-12,7,-12,6,-12,5,-13,6,-13,5,-13,5,-14,5,-14,5,-14,4,-13,3,-14,3,-14,1,-14,1,-15,1,-15,0,-14,-1,0,0]"
CSI_DATA: 3,5,1,1,0,0,0,0,-30,-28,4294810.519,4294817.800,99.760,153.198,153.198,153.198,"[-7,15,-7,15,-6,15,-7,15,-6,15,-7,14,-6,14,-6,13,-6,14,-5,14,-5,15,-5,15,-5,15,-5,15,-6,14,-4,15,-4,14,-4,14,-4,14,-4,14,-5,14,-4,14,-5,14,-2,15,-4,15,-3,15,0,0,-3,14,-3,15,-2,15,-2,15,-3,15,-3,15,-3,15,-3,15,-3,15,-3,15,-2,16,-3,15,-3,15,-3,15,-3,16,-2,16,-3,17,-3,16,-4,16,-4,15,-5,16,-5,16,-5,16,-5,17,-6,16,-7,16,0,0,13,7,13,7,14,6,14,7,14,7,13,7,13,6,13,6,13,7,12,5,13,6,14,6,14,5,13,5,13,5,15,5,14,4,13,5,14,4,14,5,14,5,14,5,13,5,14,3,15,4,15,4,0,0,14,4,15,4,15,3,14,3,14,3,15,3,15,3,15,2,15,2,15,2,16,1,15,2,16,1,16,2,16,2,18,1,18,1,18,2,18,2,18,2,19,4,19,4,20,4,21,5,21,7,20,8,0,0]"
CSI_DATA: 4,6,1,1,0,0,0,0,-31,-17,4294805.447,4294812.821,147.896,212.571,212.571,212.571,"[-2,-12,-2,-12,-3,-13,-2,-14,-2,-14,-2,-14,-2,-14,-2,-14,-2,-14,-2,-14,-2,-16,-2,-15,-2,-15,-3,-14,-2,-14,-3,-15,-3,-14,-3,-14,-4,-14,-4,-15,-4,-15,-5,-15,-5,-15,-7,-15,-7,-16,-8,-16,0,0,-8,-16,-8,-17,-9,-17,-9,-17,-9,-18,-9,-19,-10,-19,-9,-19,-9,-19,-9,-19,-11,-20,-9,-20,-9,-20,-9,-20,-9,-20,-9,-20,-10,-21,-9,-20,-8,-20,-7,-20,-7,-20,-6,-20,-7,-20,-7,-19,-6,-19,-6,-18,0,0,-15,-6,-15,-6,-15,-5,-17,-7,-16,-6,-16,-6,-16,-6,-16,-6,-16,-6,-16,-5,-17,-5,-17,-5,-17,-5,-16,-4,-16,-5,-18,-3,-17,-3,-16,-3,-17,-2,-18,-2,-18,-3,-18,-2,-18,-2,-18,1,-20,0,-20,1,0,0,-20,1,-21,1,-21,1,-21,2,-21,1,-22,1,-22,1,-22,2,-22,1,-22,2,-24,3,-23,2,-23,2,-23,2,-23,1,-24,1,-24,1,-24,1,-24,0,-23,0,-24,0,-24,-2,-24,-1,-24,-1,-25,-3,-24,-3,0,0]"
CSI_DATA: 5,3,2,2,1,1,1,0,-23,-29,228.973,243.424,24.480,421.868,209.297,28.193,"[-2,-12,-2,-12,-3,-12,-3,-13,-2,-13,-3,-12,-3,-13,-3,-12,-3,-12,-3,-12,-4,-14,-4,-13,-5,-14,-5,-13,-4,-14,-5,-14,-6,-13,-5,-13,-6,-13,-6,-14,-5,-14,-6,-13,-6,-13,-8,-13,-8,-14,-8,-14,0,0,-9,-13,-9,-14,-10,-14,-10,-13,-10,-14,-10,-15,-10,-15,-10,-14,-11,-15,-11,-15,-13,-16,-11,-15,-12,-16,-12,-16,-12,-16,-13,-16,-13,-17,-13,-17,-12,-18,-12,-18,-11,-19,-11,-19,-11,-19,-11,-20,-9,-20,-9,-21,0,0,11,8,12,8,12,8,13,9,12,9,12,10,12,9,11,9,11,10,11,9,12,10,12,9,12,9,12,8,12,9,14,8,13,8,13,8,14,8,13,9,14,9,14,9,13,9,15,8,15,9,16,9,0,0,15,8,16,9,16,9,16,8,16,9,16,9,15,10,15,9,15,9,15,9,16,9,15,9,15,9,15,9,14,9,16,9,15,8,15,9,14,9,14,9,14,9,13,9,13,10,14,9,13,10,12,10,0,0]"
CSI_DATA: 6,4,2,2,1,1,1,0,-25,-37,229.136,243.587,68.604,476.418,263.847,82.743,"[6,-9,6,-9,5,-9,6,-10,5,-9,4,-10,4,-10,4,-10,4,-10,3,-10,3,-11,2,-11,3,-11,2,-11,3,-11,1,-12,1,-11,1,-12,1,-12,1,-12,2,-12,1,-12,1,-12,0,-13,1,-14,0,-14,0,0,0,-14,0,-14,0,-14,-1,-14,0,-14,0,-15,0,-15,0,-15,0,-15,0,-15,0,-16,0,-15,1,-15,1,-15,1,-15,1,-16,1,-16,1,-16,2,-16,2,-15,3,-16,3,-15,3,-15,3,-15,4,-14,5,-14,0,0,-15,6,-15,7,-14,8,-16,7,-14,7,-14,7,-13,7,-12,7,-13,7,-12,8,-13,8,-12,9,-12,9,-11,9,-11,8,-11,9,-10,9,-10,8,-9,9,-10,9,-10,9,-9,9,-9,8,-8,9,-9,10,-8,10,0,0,-8,10,-8,10,-8,11,-8,10,-8,10,-8,11,-9,10,-8,10,-8,10,-8,10,-9,11,-9,9,-9,9,-10,10,-10,9,-11,9,-11,9,-11,8,-11,8,-11,7,-12,7,-12,6,-12,5,-12,5,-13,4,-13,3,0,0]"
CSI_DATA: 7,5,2,2,1,1,1,0,-30,-28,229.795,244.246,120.92,538.816,326.245,145.141,"[-14,-10,-14,-10,-15,-9,-15,-11,-14,-10,-14,-10,-14,-9,-13,-9,-14,-9,-14,-8,-15,-9,-15,-8,-15,-9,-14,-8,-14,-9,-15,-8,-14,-7,-14,-7,-14,-7,-14,-8,-14,-8,-14,-7,-14,-8,-15,-6,-15,-7,-15,-7,0,0,-15,-6,-15,-6,-15,-6,-15,-6,-15,-6,-16,-6,-16,-7,-15,-6,-15,-6,-15,-6,-16,-6,-15,-6,-16,-6,-16,-7,-16,-6,-17,-6,-17,-7,-17,-7,-17,-7,-16,-8,-16,-9,-16,-9,-16,-10,-17,-9,-16,-11,-16,-11,0,0,-8,-13,-8,-13,-9,-12,-8,-14,-8,-13,-8,-13,-8,-12,-8,-12,-8,-12,-8,-11,-9,-12,-10,-12,-9,-11,-9,-11,-9,-12,-11,-12,-10,-11,-9,-11,-10,-11,-10,-11,-9,-12,-10,-11,-9,-11,-11,-10,-11,-11,-11,-11,0,0,-11,-10,-11,-11,-12,-10,-11,-10,-11,-10,-11,-10,-12,-10,-11,-10,-12,-10,-12,-10,-13,-10,-12,-9,-13,-10,-14,-9,-13,-10,-15,-10,-14,-9,-15,-10,-15,-11,-15,-11,-15,-12,-14,-12,-15,-13,-16,-14,-14,-15,-14,-16,0,0]"
CSI_DATA: 8,6,2,2,1,1,1,0,-31,-17,224.828,239.279,168.129,614.539,401.968,220.864,"[-7,9,-7,9,-7,10,-9,10,-8,10,-9,10,-9,10,-9,10,-9,10,-9,10,-10,11,-10,11,-10,11,-9,11,-10,10,-9,11,-8,11,-8,11,-8,11,-9,11,-9,12,-8,13,-9,12,-7,14,-8,14,-8,15,0,0,-7,15,-8,16,-8,17,-7,17,-8,17,-9,18,-10,18,-9,17,-9,18,-9,18,-10,19,-10,18,-10,18,-11,18,-11,18,-11,18,-11,18,-11,18,-11,17,-12,16,-13,16,-12,15,-12,15,-11,16,-12,15,-11,14,0,0,-8,-14,-9,-14,-9,-13,-10,-15,-9,-14,-9,-15,-10,-15,-10,-14,-9,-15,-10,-14,-11,-15,-11,-14,-11,-14,-11,-14,-10,-14,-12,-13,-12,-12,-12,-12,-13,-12,-13,-12,-13,-13,-14,-12,-13,-12,-15,-11,-16,-13,-17,-12,0,0,-17,-11,-17,-12,-18,-12,-17,-11,-18,-12,-18,-12,-19,-12,-19,-12,-19,-12,-19,-12,-21,-13,-20,-13,-19,-13,-21,-13,-19,-13,-21,-14,-20,-13,-20,-14,-20,-15,-19,-15,-19,-16,-18,-16,-19,-16,-19,-16,-18,-17,-18,-17,0,0]"
CSI_DATA: 9,7,1,1,0,1,1,0,-31,-18,165978.430,241.205,215.655,687.877,475.306,294.202,"[3,8,3,8,4,7,4,7,4,6,4,6,5,6,5,5,5,5,6,4,7,4,7,4,7,4,7,4,7,4,7,3,6,2,6,2,6,1,6,1,6,0,6,-1,6,-1,6,-3,7,-3,7,-4,0,0,7,-6,7,-7,7,-8,7,-9,8,-9,8,-10,9,-10,9,-11,9,-13,9,-13,9,-15,10,-14,10,-16,11,-16,11,-16,12,-18,12,-19,13,-19,14,-19,15,-19,16,-19,17,-18,18,-19,18,-20,20,-19,21,-19,0,0,-10,17,-10,18,-8,18,-10,19,-10,18,-10,18,-11,17,-10,16,-11,16,-10,16,-11,17,-9,16,-9,15,-8,14,-8,14,-6,15,-5,15,-5,15,-4,16,-5,16,-5,16,-4,17,-4,17,-2,17,-4,19,-3,19,0,0,-3,19,-3,20,-3,20,-3,20,-4,20,-4,20,-5,20,-5,20,-5,20,-4,20,-5,21,-5,19,-5,18,-6,19,-6,18,-6,20,-6,18,-6,19,-7,18,-6,17,-7,17,-7,16,-7,16,-6,16,-7,16,-7,15,0,0]"
CSI_DATA: 10,3,3,3,2,2,2,0,-23,-29,618.997,629.274,20.182,805.527,117.650,21.824,"[-5,-11,-5,-10,-6,-10,-6,-12,-6,-11,-6,-11,-7,-11,-7,-11,-7,-11,-7,-11,-7,-12,-8,-11,-8,-12,-8,-11,-8,-12,-10,-12,-9,-11,-9,-11,-10,-11,-10,-11,-10,-11,-10,-11,-9,-11,-11,-10,-11,-11,-12,-11,0,0,-12,-10,-13,-11,-13,-10,-14,-10,-14,-10,-14,-10,-14,-10,-14,-10,-15,-10,-15,-11,-16,-11,-15,-11,-16,-12,-16,-12,-16,-12,-17,-12,-18,-13,-17,-13,-17,-13,-17,-13,-16,-14,-16,-15,-16,-16,-16,-15,-15,-17,-14,-17,0,0,-14,-7,-14,-7,-14,-7,-15,-8,-14,-8,-15,-9,-14,-9,-13,-9,-14,-9,-13,-8,-15,-9,-15,-8,-15,-8,-14,-7,-14,-8,-16,-7,-15,-6,-15,-7,-16,-7,-16,-8,-16,-8,-16,-7,-15,-8,-17,-6,-18,-7,-18,-7,0,0,-17,-7,-18,-7,-19,-7,-18,-6,-18,-7,-19,-8,-18,-8,-17,-8,-18,-7,-17,-7,-19,-7,-17,-7,-17,-7,-17,-7,-17,-7,-18,-7,-18,-7,-17,-7,-17,-7,-16,-7,-16,-8,-15,-8,-16,-8,-16,-8,-15,-8,-15,-8,0,0]"
