CSI_DATA: gC, idS, sC, sC_M, bc1, bc2, bcM1, retry, RSSI1, RSSI2, tCSI1_S, tCSI2_S, tdma_S, t_M(ms), dt_rxM, tin_cycle, [data]
CSI_DATA: 1,3,1,1,0,0,0,0,-23,-24,4294810.681,4294815.185,0.116,21.888,21.888,21.888,"[-11,-10,-11,-10,-12,-9,-12,-11,-12,-10,-12,-10,-12,-10,-11,-10,-12,-11,-12,-10,-13,-11,-13,-11,-14,-11,-13,-11,-13,-12,-14,-11,-13,-10,-13,-10,-13,-10,-14,-11,-13,-12,-13,-10,-13,-11,-14,-10,-15,-11,-15,-10,0,0,-14,-10,-15,-10,-15,-10,-15,-10,-15,-10,-15,-11,-15,-11,-14,-10,-15,-10,-15,-10,-16,-10,-15,-10,-15,-10,-15,-10,-15,-10,-16,-10,-17,-10,-16,-10,-16,-11,-15,-11,-15,-12,-15,-12,-16,-13,-17,-12,-15,-14,-15,-14,0,0,13,5,13,5,14,4,14,5,13,5,14,5,14,4,14,4,14,5,14,4,15,4,15,4,15,4,14,4,14,4,16,3,14,2,14,3,15,2,15,3,15,3,15,2,15,2,15,0,16,1,16,1,0,0,16,-1,17,0,17,-1,17,-1,17,0,17,-1,18,0,17,-1,18,-1,18,-1,19,-2,18,-1,19,-1,19,-2,19,-1,20,-1,20,-1,20,-1,20,0,20,1,21,1,20,2,20,2,21,2,21,4,21,5,0,0]"
CSI_DATA: 2,4,1,1,0,0,0,0,-25,-24,4294810.840,4294815.350,48.140,91.284,91.284,91.284,"[-11,-4,-11,-3,-11,-2,-12,-3,-11,-2,-11,-2,-11,-2,-11,-2,-11,-1,-11,-1,-12,-1,-12,0,-12,0,-12,0,-13,0,-12,1,-12,1,-12,1,-13,2,-13,2,-13,1,-13,2,-12,1,-13,4,-14,3,-14,4,0,0,-14,4,-15,4,-15,5,-14,5,-15,4,-16,4,-16,4,-15,4,-15,4,-15,4,-16,6,-16,4,-17,4,-17,5,-16,5,-17,5,-18,5,-18,5,-18,4,-18,3,-19,3,-19,2,-19,1,-20,2,-19,1,-19,0,0,0,-1,-10,-2,-10,-3,-10,-2,-11,-3,-10,-3,-10,-3,-10,-3,-10,-4,-10,-4,-10,-5,-10,-6,-10,-6,-10,-6,-10,-5,-10,-7,-10,-7,-9,-7,-9,-7,-9,-7,-9,-8,-10,-8,-9,-8,-9,-10,-8,-10,-10,-11,-9,0,0,-12,-8,-12,-9,-13,-9,-13,-8,-13,-9,-13,-9,-14,-9,-14,-9,-15,-8,-15,-8,-16,-9,-15,-9,-16,-9,-17,-9,-17,-10,-19,-10,-18,-10,-19,-10,-19,-11,-18,-11,-19,-13,-18,-13,-18,-15,-19,-14,-18,-16,-17,-17,0,0]"
CSI_DATA: 3,5,1,1,0,0,0,0,-28,-27,4294811.515,4294816.14,98.71,160.963,160.963,160.963,"[-4,-15,-5,-16,-6,-14,-5,-16,-5,-15,-5,-15,-5,-15,-5,-14,-5,-14,-6,-13,-7,-15,-7,-14,-7,-14,-7,-14,-7,-14,-8,-14,-8,-13,-8,-13,-9,-13,-8,-13,-8,-14,-9,-13,-8,-13,-11,-12,-10,-13,-11,-13,0,0,-11,-13,-12,-13,-13,-13,-12,-13,-12,-13,-13,-14,-12,-14,-12,-14,-13,-14,-12,-14,-15,-14,-13,-14,-13,-15,-14,-15,-13,-15,-14,-16,-14,-16,-14,-16,-13,-17,-12,-17,-12,-17,-11,-18,-11,-19,-13,-19,-10,-19,-9,-20,0,0,14,3,15,2,15,1,15,2,15,2,14,2,14,2,14,1,14,2,14,1,15,1,15,0,15,0,15,0,15,1,16,-1,15,-1,15,0,15,-1,15,0,16,0,15,0,15,1,15,-2,16,0,16,-1,0,0,16,-1,16,-1,16,-2,15,-2,15,-1,16,-1,16,-1,15,-1,15,-2,16,-3,17,-3,16,-3,16,-3,16,-3,16,-4,17,-4,18,-4,18,-4,18,-3,18,-2,19,-2,19,-1,20,-1,21,-1,21,1,21,2,0,0]"
CSI_DATA: 4,6,1,1,0,0,0,0,-27,-20,4294806.452,4294811.38,148.20,229.623,229.623,229.623,"[2,7,3,7,4,8,4,9,4,9,3,10,3,10,3,10,3,11,4,11,4,12,5,12,5,13,5,13,4,14,6,14,6,13,5,13,6,14,6,15,6,16,7,15,6,15,10,15,9,17,11,17,0,0,10,17,10,17,11,18,11,17,12,19,11,20,12,20,12,20,13,20,13,20,15,21,14,21,13,21,14,22,13,21,14,22,14,23,14,23,13,23,13,23,12,24,12,24,12,25,13,24,11,25,11,25,0,0,5,-14,4,-14,4,-14,5,-15,4,-14,4,-15,4,-14,4,-14,4,-14,3,-14,4,-15,3,-15,3,-15,2,-15,3,-15,1,-15,1,-15,1,-14,0,-15,0,-16,1,-16,0,-16,0,-16,-2,-16,-1,-17,-2,-17,0,0,-3,-17,-3,-18,-3,-19,-3,-18,-3,-19,-3,-19,-3,-19,-3,-19,-4,-19,-4,-19,-4,-21,-4,-20,-3,-20,-4,-21,-4,-21,-4,-22,-4,-21,-3,-22,-3,-22,-2,-22,-1,-23,-1,-21,0,-22,-1,-22,1,-23,2,-23,0,0]"
CSI_DATA: 5,7,1,1,0,0,0,0,-20,-20,4294808.227,4294812.805,196.85,293.65,293.65,293.65,"[-17,-2,-17,-2,-16,-1,-17,-2,-16,-2,-17,-2,-16,-2,-15,-2,-16,-2,-15,-1,-16,-1,-16,-1,-16,-1,-15,-1,-15,-2,-15,0,-14,0,-14,0,-14,0,-15,0,-14,0,-14,1,-14,0,-14,2,-15,1,-15,2,0,0,-14,2,-15,3,-15,3,-15,4,-15,3,-16,3,-16,3,-15,3,-16,4,-15,4,-17,5,-16,4,-16,4,-17,4,-17,4,-17,5,-18,5,-18,5,-18,4,-19,3,-19,3,-19,2,-20,2,-21,3,-20,0,-21,0,0,0,-1,-18,-1,-18,-3,-18,-1,-19,-2,-18,-1,-18,-2,-18,-1,-18,-1,-18,-1,-17,-1,-18,-2,-17,-2,-17,-2,-16,-2,-16,-4,-16,-5,-15,-4,-15,-5,-15,-5,-16,-5,-16,-6,-16,-5,-16,-8,-16,-7,-17,-8,-17,0,0,-9,-17,-9,-18,-9,-18,-9,-18,-8,-18,-9,-19,-8,-18,-8,-18,-8,-19,-8,-19,-9,-19,-7,-18,-7,-18,-7,-19,-7,-19,-7,-19,-7,-19,-6,-19,-6,-18,-5,-18,-4,-19,-4,-17,-4,-17,-4,-17,-3,-17,-3,-17,0,0]"
CSI_DATA: 6,3,2,2,1,1,1,0,-23,-24,230.473,239.300,18.864,416.366,123.301,21.986,"[-14,-1,-15,-1,-15,0,-16,-1,-15,-1,-15,-1,-16,-1,-15,-1,-16,-1,-16,-1,-17,-1,-16,0,-17,-1,-17,-1,-17,-1,-17,0,-16,0,-16,0,-17,0,-17,-1,-17,-1,-17,0,-16,-1,-17,1,-18,0,-18,1,0,0,-17,1,-18,1,-18,1,-17,2,-18,1,-18,1,-18,1,-17,1,-18,2,-17,1,-18,2,-17,1,-18,1,-19,2,-18,2,-19,3,-19,3,-19,3,-19,2,-19,1,-19,1,-20,1,-20,0,-21,1,-21,-1,-20,-1,0,0,10,12,11,12,12,11,12,13,11,12,11,13,11,12,11,12,11,12,11,12,12,13,12,12,12,12,12,12,11,12,14,11,13,10,13,10,13,10,13,11,13,11,14,10,13,10,15,8,15,10,16,9,0,0,16,8,17,8,17,8,17,7,17,8,18,9,18,9,18,9,18,8,19,8,21,8,18,8,18,8,19,9,20,8,21,9,20,9,21,9,20,10,20,11,20,12,19,11,19,13,20,13,19,14,18,15,0,0]"
CSI_DATA: 7,4,2,2,1,1,1,0,-25,-24,230.637,239.463,66.972,468.239,175.174,73.859,"[-10,-5,-11,-5,-11,-4,-12,-4,-11,-4,-11,-4,-11,-3,-11,-3,-11,-3,-11,-2,-12,-2,-12,-1,-13,-1,-12,-1,-13,-2,-13,0,-12,-1,-12,0,-13,0,-13,0,-14,0,-13,1,-13,0,-13,2,-15,1,-14,2,0,0,-14,2,-15,2,-16,2,-14,3,-16,2,-16,2,-16,2,-16,2,-16,2,-16,3,-17,4,-16,3,-17,2,-18,2,-17,2,-18,2,-18,2,-19,2,-18,1,-18,1,-19,0,-19,-1,-19,0,-20,0,-19,-2,-19,-2,0,0,-10,-6,-10,-5,-10,-4,-11,-5,-11,-5,-11,-4,-11,-4,-11,-3,-11,-3,-12,-2,-12,-3,-13,-2,-12,-2,-13,-1,-13,-2,-14,0,-13,0,-13,0,-13,1,-13,1,-14,1,-13,2,-14,1,-13,3,-15,3,-15,4,0,0,-15,5,-15,5,-15,6,-16,6,-15,6,-16,7,-16,7,-16,7,-17,8,-17,8,-18,9,-17,8,-18,8,-19,9,-20,9,-20,10,-21,10,-21,10,-22,9,-22,8,-24,8,-23,7,-24,7,-24,8,-26,6,-26,5,0,0]"
CSI_DATA: 8,5,2,2,1,1,1,0,-28,-27,231.275,240.102,116.932,534.614,241.549,140.234,"[-4,14,-4,15,-2,14,-3,16,-3,15,-3,15,-3,14,-3,14,-3,14,-2,14,-2,15,-2,15,-1,15,-1,14,-2,14,0,14,0,14,0,13,1,14,0,14,0,14,1,14,0,14,3,14,2,15,3,15,0,0,3,15,4,15,4,16,4,15,4,16,4,17,4,17,3,17,4,17,4,16,5,18,4,18,4,17,4,18,4,18,4,19,4,19,4,20,2,20,1,19,1,20,1,20,1,20,1,21,-1,20,-1,20,0,0,-15,-3,-15,-3,-15,-2,-16,-3,-15,-2,-15,-2,-15,-2,-15,-2,-15,-2,-15,-1,-16,-1,-15,0,-16,0,-16,0,-16,-1,-17,1,-16,1,-16,1,-16,1,-16,0,-17,0,-16,1,-16,0,-16,1,-17,1,-17,2,0,0,-16,2,-17,2,-17,3,-16,3,-16,2,-17,2,-17,2,-16,2,-16,3,-15,3,-17,4,-16,4,-16,4,-17,5,-17,5,-18,6,-18,6,-18,6,-19,4,-19,4,-20,4,-20,3,-20,3,-21,3,-22,2,-22,1,0,0]"
CSI_DATA: 9,7,2,2,1,1,1,0,-20,-20,228.97,236.923,214.813,610.690,317.625,216.310,"[10,-14,10,-14,8,-15,10,-15,9,-14,10,-14,9,-14,9,-13,9,-13,8,-13,9,-14,8,-14,8,-14,8,-14,8,-13,7,-14,6,-14,7,-13,6,-14,6,-14,7,-14,5,-14,6,-13,4,-15,6,-15,5,-15,0,0,4,-15,4,-16,3,-16,3,-16,4,-16,4,-17,4,-17,4,-16,3,-17,3,-17,3,-18,3,-17,3,-18,3,-19,3,-19,3,-19,3,-20,4,-20,4,-20,5,-19,6,-20,6,-20,7,-20,7,-22,9,-20,9,-20,0,0,-18,-1,-18,0,-18,1,-19,0,-18,0,-19,0,-18,0,-18,0,-18,0,-17,0,-18,-1,-17,0,-17,0,-17,1,-16,0,-16,3,-15,3,-15,3,-15,4,-16,4,-16,4,-16,5,-16,4,-16,6,-18,6,-17,7,0,0,-17,7,-18,8,-18,8,-17,8,-18,8,-19,8,-19,7,-18,7,-18,7,-18,7,-20,7,-19,6,-19,6,-19,6,-18,6,-19,6,-18,6,-18,6,-18,5,-18,4,-18,4,-17,3,-18,3,-18,3,-17,2,-17,2,0,0]"
CSI_DATA: 10,3,3,3,2,2,2,0,-23,-24,620.476,629.253,17.628,806.981,196.291,22.574,"[7,-12,7,-13,6,-13,8,-14,7,-13,8,-14,8,-13,7,-13,8,-13,7,-13,8,-15,7,-15,8,-15,8,-14,9,-14,8,-15,7,-15,7,-14,8,-15,8,-14,8,-14,7,-14,8,-13,6,-16,7,-16,7,-16,0,0,6,-16,7,-15,7,-17,6,-15,7,-17,7,-17,7,-17,7,-16,7,-16,6,-16,6,-18,6,-17,6,-17,6,-18,6,-16,7,-18,6,-17,7,-19,7,-18,7,-17,8,-18,8,-17,9,-17,8,-19,10,-18,10,-18,0,0,-6,12,-7,13,-5,13,-6,14,-6,14,-7,14,-6,14,-6,13,-7,13,-6,13,-6,15,-6,15,-5,14,-5,14,-6,14,-5,15,-4,14,-4,14,-4,15,-4,15,-4,15,-4,15,-4,14,-2,15,-3,16,-2,16,0,0,-1,16,-2,16,-1,17,-1,16,-1,17,-1,18,-1,18,-1,17,-1,18,0,18,0,19,-1,18,-1,18,-1,19,-1,19,-1,20,-1,20,-2,20,-2,20,-2,20,-3,20,-4,20,-4,20,-4,21,-6,20,-6,20,0,0]"
